"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","43006362",2020
"3468","russell-westbrook","Russell Westbrook","PG","WSH","washington-wizards","Washington Wizards","41358814",2020
"2779","chris-paul","Chris Paul","PG","PHX","phoenix-suns","Phoenix Suns","41358814",2020
"4237","john-wall","John Wall","PG","HOU","houston-rockets","Houston Rockets","41254920",2020
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","41254920",2020
"3202","kevin-durant","Kevin Durant","SF","BKN","brooklyn-nets","Brooklyn Nets","40108950",2020
"1966","lebron-james","LeBron James","SF","LAL","los-angeles-lakers","Los Angeles Lakers","39219565",2020
"3989","blake-griffin","Blake Griffin","PF","DET","detroit-pistons","Detroit Pistons","36810996",2020
"4251","paul-george","Paul George","SG","LAC","la-clippers","LA Clippers","35450412",2020
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","35361360",2020
"3195","mike-conley","Mike Conley","PG","UTAH","utah-jazz","Utah Jazz","34502130",2020
"6430","jimmy-butler","Jimmy Butler","SF","MIA","miami-heat","Miami Heat","34379100",2020
"6450","kawhi-leonard","Kawhi Leonard","SF","LAC","la-clippers","LA Clippers","34379100",2020
"6479","kemba-walker","Kemba Walker","PG","BOS","boston-celtics","Boston Celtics","34379100",2020
"6440","tobias-harris","Tobias Harris","SF","PHI","philadelphia-76ers","Philadelphia 76ers","34358850",2020
"6609","khris-middleton","Khris Middleton","SF","MIL","milwaukee-bucks","Milwaukee Bucks","33051724",2020
"6583","anthony-davis","Anthony Davis","PF","LAL","los-angeles-lakers","Los Angeles Lakers","32742000",2020
"6442","kyrie-irving","Kyrie Irving","PG","BKN","brooklyn-nets","Brooklyn Nets","31742000",2020
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","31626953",2020
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","31258256",2020
"3149673","pascal-siakam","Pascal Siakam","PF","TOR","toronto-raptors","Toronto Raptors","30559200",2020
"3907387","ben-simmons","Ben Simmons","PG","PHI","philadelphia-76ers","Philadelphia 76ers","30559200",2020
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","30500000",2020
"2991235","steven-adams","Steven Adams","C","NO","new-orleans-pelicans","New Orleans Pelicans","29592696",2020
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","29542010",2020
"3059319","andrew-wiggins","Andrew Wiggins","SF","GS","golden-state-warriors","Golden State Warriors","29542010",2020
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","Denver Nuggets","29542010",2020
"3136193","devin-booker","Devin Booker","SG","PHX","phoenix-suns","Phoenix Suns","29467800",2020
"3136195","karl-anthony-towns","Karl-Anthony Towns","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","29467800",2020
"3102531","kristaps-porzingis","Kristaps Porzingis","F","DAL","dallas-mavericks","Dallas Mavericks","29467800",2020
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","29354152",2020
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","28751775",2020
"6585","andre-drummond","Andre Drummond","C","CLE","cleveland-cavaliers","Cleveland Cavaliers","28751775",2020
"3136776","d'angelo-russell","D'Angelo Russell","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","28649250",2020
"4249","gordon-hayward","Gordon Hayward","SF","CHA","charlotte-hornets","Charlotte Hornets","28500000",2020
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","CHI","chicago-bulls","Chicago Bulls","28489237",2020
"3978","demar-derozan","DeMar DeRozan","SG","SA","san-antonio-spurs","San Antonio Spurs","27739975",2020
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","PF","MIL","milwaukee-bucks","Milwaukee Bucks","27528090",2020
"3032976","rudy-gobert","Rudy Gobert","C","UTAH","utah-jazz","Utah Jazz","27525281",2020
"3213","al-horford","Al Horford","C","OKC","oklahoma-city-thunder","Oklahoma City Thunder","27500000",2020
"3936299","jamal-murray","Jamal Murray","PG","DEN","denver-nuggets","Denver Nuggets","27285000",2020
"3913176","brandon-ingram","Brandon Ingram","SF","NO","new-orleans-pelicans","New Orleans Pelicans","27285000",2020
"3995","jrue-holiday","Jrue Holiday","SG","MIL","milwaukee-bucks","Milwaukee Bucks","26231111",2020
"6478","nikola-vucevic","Nikola Vucevic","C","ORL","orlando-magic","Orlando Magic","26000000",2020
"6466","chandler-parsons","Chandler Parsons","SF","ATL","atlanta-hawks","Atlanta Hawks","25102511",2020
"2990984","buddy-hield","Buddy Hield","SG","SAC","sacramento-kings","Sacramento Kings","24701834",2020
"2983","lamarcus-aldridge","LaMarcus Aldridge","PF","SA","san-antonio-spurs","San Antonio Spurs","24000000",2020
"3917376","jaylen-brown","Jaylen Brown","SG","BOS","boston-celtics","Boston Celtics","23735118",2020
"6589","draymond-green","Draymond Green","PF","GS","golden-state-warriors","Golden State Warriors","22246956",2020
"6578","harrison-barnes","Harrison Barnes","SF","SAC","sacramento-kings","Sacramento Kings","22215909",2020
"2991230","fred-vanvleet","Fred VanVleet","SG","TOR","toronto-raptors","Toronto Raptors","21250000",2020
"2527963","victor-oladipo","Victor Oladipo","SG","IND","indiana-pacers","Indiana Pacers","21000000",2020
"2566769","malcolm-brogdon","Malcolm Brogdon","PG","IND","indiana-pacers","Indiana Pacers","20700000",2020
"3155942","domantas-sabonis","Domantas Sabonis","PF","IND","indiana-pacers","Indiana Pacers","19800000",2020
"2999547","gary-harris","Gary Harris","SG","DEN","denver-nuggets","Denver Nuggets","19610714",2020
"3064440","zach-lavine","Zach LaVine","SG","CHI","chicago-bulls","Chicago Bulls","19500000",2020
"3428","danilo-gallinari","Danilo Gallinari","PF","ATL","atlanta-hawks","Atlanta Hawks","19500000",2020
"2991070","jerami-grant","Jerami Grant","PF","DET","detroit-pistons","Detroit Pistons","19050000",2020
"2528210","tim-hardaway-jr.","Tim Hardaway Jr.","SG","DAL","dallas-mavericks","Dallas Mavericks","18975000",2020
"3074752","terry-rozier","Terry Rozier","PG","CHA","charlotte-hornets","Charlotte Hornets","18900000",2020
"3064514","julius-randle","Julius Randle","PF","NY","new-york-knicks","New York Knicks","18900000",2020
"2531210","allen-crabbe","Allen Crabbe","G","MIN","minnesota-timberwolves","Minnesota Timberwolves","18500000",2020
"3064290","aaron-gordon","Aaron Gordon","PF","ORL","orlando-magic","Orlando Magic","18136364",2020
"3423","goran-dragic","Goran Dragic","PG","MIA","miami-heat","Miami Heat","18000000",2020
"3133628","myles-turner","Myles Turner","PF","IND","indiana-pacers","Indiana Pacers","18000000",2020
"3037789","bogdan-bogdanovic","Bogdan Bogdanovic","SG","ATL","atlanta-hawks","Atlanta Hawks","18000000",2020
"3593","bojan-bogdanovic","Bojan Bogdanovic","SF","UTAH","utah-jazz","Utah Jazz","17850000",2020
"2534781","gorgui-dieng","Gorgui Dieng","C","MEM","memphis-grizzlies","Memphis Grizzlies","17287640",2020
"6588","evan-fournier","Evan Fournier","SG","ORL","orlando-magic","Orlando Magic","17150000",2020
"4011","ricky-rubio","Ricky Rubio","PG","MIN","minnesota-timberwolves","Minnesota Timberwolves","17000000",2020
"4238","eric-bledsoe","Eric Bledsoe","PG","NO","new-orleans-pelicans","New Orleans Pelicans","16875000",2020
"3431","eric-gordon","Eric Gordon","SG","HOU","houston-rockets","Houston Rockets","16869276",2020
"4298","timofey-mozgov","Timofey Mozgov","C","ORL","orlando-magic","Orlando Magic","16720000",2020
"2991043","caris-levert","Caris LeVert","SG","BKN","brooklyn-nets","Brooklyn Nets","16203704",2020
"2528794","joe-harris","Joe Harris","SG","BKN","brooklyn-nets","Brooklyn Nets","16071429",2020
"3999","james-johnson","James Johnson","PF","DAL","dallas-mavericks","Dallas Mavericks","16047100",2020
"3032979","dennis-schroder","Dennis Schroder","PG","LAL","los-angeles-lakers","Los Angeles Lakers","16000000",2020
"3102529","clint-capela","Clint Capela","C","ATL","atlanta-hawks","Atlanta Hawks","16000000",2020
"2579258","cody-zeller","Cody Zeller","PF","CHA","charlotte-hornets","Charlotte Hornets","15415730",2020
"3988","danny-green","Danny Green","SG","PHI","philadelphia-76ers","Philadelphia 76ers","15365853",2020
"6477","jonas-valanciunas","Jonas Valanciunas","C","MEM","memphis-grizzlies","Memphis Grizzlies","15000000",2020
"6426","davis-bertans","Davis Bertans","SF","WSH","washington-wizards","Washington Wizards","15000000",2020
"2386","andre-iguodala","Andre Iguodala","SG","MIA","miami-heat","Miami Heat","15000000",2020
"6462","marcus-morris-sr.","Marcus Morris Sr.","F","LAC","la-clippers","LA Clippers","14888721",2020
"4250","luke-babbitt","Luke Babbitt","F","MIA","miami-heat","Miami Heat","14651700",2020
"3005","rudy-gay","Rudy Gay","SF","SA","san-antonio-spurs","San Antonio Spurs","14500000",2020
"3133603","kelly-oubre-jr.","Kelly Oubre Jr.","SF","GS","golden-state-warriors","Golden State Warriors","14375000",2020
"3907497","dejounte-murray","Dejounte Murray","PG","SA","san-antonio-spurs","San Antonio Spurs","14286000",2020
"6579","will-barton","Will Barton","SG","DEN","denver-nuggets","Denver Nuggets","13723214",2020
"2758","marcin-gortat","Marcin Gortat","C","LAC","la-clippers","LA Clippers","13565218",2020
"3244","thaddeus-young","Thaddeus Young","PF","CHI","chicago-bulls","Chicago Bulls","13545000",2020
"4004","patty-mills","Patty Mills","PG","SA","san-antonio-spurs","San Antonio Spurs","13535714",2020
"6619","terrence-ross","Terrence Ross","SG","ORL","orlando-magic","Orlando Magic","13500000",2020
"2990992","marcus-smart","Marcus Smart","PG","BOS","boston-celtics","Boston Celtics","13446428",2020
"3907822","malik-beasley","Malik Beasley","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","13425895",2020
"3964","patrick-beverley","Patrick Beverley","PG","LAC","la-clippers","LA Clippers","13333333",2020
"3058254","christian-wood","Christian Wood","PF","HOU","houston-rockets","Houston Rockets","13015873",2020
"3024","jj-redick","JJ Redick","SG","NO","new-orleans-pelicans","New Orleans Pelicans","13013700",2020
"3135047","justise-winslow","Justise Winslow","PF","MEM","memphis-grizzlies","Memphis Grizzlies","13000000",2020
"3102530","jusuf-nurkic","Jusuf Nurkic","C","POR","portland-trail-blazers","Portland Trail Blazers","12888889",2020
"2426","trevor-ariza","Trevor Ariza","SF","OKC","oklahoma-city-thunder","Oklahoma City Thunder","12800000",2020
"3445","courtney-lee","Courtney Lee","G","DAL","dallas-mavericks","Dallas Mavericks","12759670",2020
"3448","brook-lopez","Brook Lopez","C","MIL","milwaukee-bucks","Milwaukee Bucks","12697674",2020
