"Players","Minutes","FG_Made","FG_Att","Threes_Made","Threes_Att","FT_Made","FT_Att","Offensive_Rebounds","Defensive_Rebounds","Rebounds","Assists","Steals","Blocks","Turnovers","Fouls","Plus_Minus","Points","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"K. Caldwell-Pope",24,5,8,2,3,4,5,1,4,5,3,3,0,1,2,14,16,"G","Played",TRUE,"2581018","kentavious-caldwell-pope","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"T. Horton-Tucker",41,11,17,4,5,7,9,2,8,10,4,4,0,2,4,36,33,"G","Played",TRUE,"4396991","talen-horton-tucker","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"J. Dudley",28,2,3,2,2,1,2,0,5,5,1,0,0,0,2,15,7,"F","Played",TRUE,"3201","jared-dudley","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Harrell",27,8,19,1,1,2,4,5,6,11,3,0,2,2,5,15,19,"C","Played",TRUE,"2991055","montrezl-harrell","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"Q. Cook",31,5,10,4,5,0,0,0,1,1,7,1,0,1,3,3,14,"G","Played",TRUE,"2566745","quinn-cook","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Davis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"6583","anthony-davis","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Cacok",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"3946974","devontae-cacok","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"K. Antetokounmpo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"4066490","kostas-antetokounmpo","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"L. James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"1966","lebron-james","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. McKinnie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"2530923","alfonzo-mckinnie","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Schroder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"3032979","dennis-schroder","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"W. Matthews",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"4032","wesley-matthews","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Caruso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"2991350","alex-caruso","LAL","LAC","401265841",2020-12-13,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"N. Batum",21,2,5,2,4,3,4,1,0,1,2,2,1,1,2,-13,9,"F","Played",TRUE,"3416","nicolas-batum","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Leonard",18,4,7,1,2,2,2,1,0,1,2,1,0,3,1,-8,11,"F","Played",TRUE,"6450","kawhi-leonard","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"S. Ibaka",20,3,7,0,3,2,2,1,4,5,2,0,1,0,4,-9,8,"C","Played",TRUE,"3439","serge-ibaka","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"P. Beverley",15,2,5,1,3,1,2,0,2,2,1,0,0,1,3,-8,6,"G","Played",TRUE,"3964","patrick-beverley","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"P. George",18,3,6,2,3,1,2,0,1,1,4,1,0,2,3,-8,9,"G","Played",TRUE,"4251","paul-george","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"P. Patterson",20,1,3,1,3,0,0,0,3,3,0,0,0,1,0,-11,3,"F","Played",TRUE,"4264","patrick-patterson","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Kabengele",10,1,3,1,2,0,0,0,2,2,0,0,0,0,0,1,3,"F","Played",TRUE,"4065660","mfiondu-kabengele","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Fitts",4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,0,"F","Played",TRUE,"4066467","malik-fitts","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"I. Zubac",18,2,5,0,0,2,3,3,3,6,1,0,1,0,2,-17,6,"C","Played",TRUE,"4017837","ivica-zubac","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"D. Oturu",8,2,2,0,0,0,0,0,2,2,0,0,0,1,0,-1,4,"C","Played",TRUE,"4397215","daniel-oturu","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"L. Williams",6,6,7,0,0,0,0,0,0,0,1,0,0,0,0,1,12,"G","Played",TRUE,"2799","lou-williams","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T. Mann",21,3,9,1,4,3,4,0,5,5,5,0,1,0,1,-16,10,"G","Played",TRUE,"3907823","terance-mann","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"R. Tucker",12,2,4,0,1,2,3,1,1,2,2,0,0,1,1,-1,6,"G","Played",TRUE,"3908819","rayjon-tucker","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"L. Kennard",19,1,4,0,1,0,0,0,2,2,2,0,0,1,4,-14,2,"G","Played",TRUE,"3913174","luke-kennard","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"A. Coffey",14,3,7,1,4,1,2,0,0,0,1,0,0,0,2,-19,8,"G","Played",TRUE,"4066387","amir-coffey","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Bowman",10,2,4,1,3,0,0,0,1,1,1,0,0,0,1,1,5,"G","Played",TRUE,"4065635","ky-bowman","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Ford",9,2,6,0,2,0,0,0,0,0,3,0,0,0,0,-1,4,"G","Played",TRUE,"4066736","jordan-ford","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Morris Sr.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"6462","marcus-morris-sr","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"R. Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"6443","reggie-jackson","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Scrubb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"4683023","jay-scrubb","LAC","LAL","401265841",2020-12-13,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"L. Nance Jr.",15,1,3,1,3,0,0,0,1,1,2,0,0,4,1,-21,3,"F","Played",TRUE,"2580365","larry-nance-jr","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Drummond",23,6,8,1,3,4,6,1,10,11,0,2,3,2,2,-7,17,"C","Played",TRUE,"6585","andre-drummond","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Garland",29,7,15,1,5,2,2,2,2,4,2,3,0,6,2,-13,17,"G","Played",TRUE,"4396907","darius-garland","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Dotson",31,3,9,2,7,2,3,0,6,6,2,0,0,3,1,-11,10,"G","Played",TRUE,"2991149","damyean-dotson","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"I. Okoro",28,4,7,1,1,6,10,3,0,3,4,0,0,1,5,-21,15,"G","Played",TRUE,"4432822","isaac-okoro","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Wade",18,2,4,2,4,2,2,1,6,7,0,0,1,1,2,30,8,"F","Played",TRUE,"3912848","dean-wade","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"L. Stevens",8,1,2,0,0,2,2,0,6,6,0,1,0,0,1,9,4,"F","Played",TRUE,"4066405","lamar-stevens","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"T. Maker",6,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6,0,"F","Played",TRUE,"4017843","thon-maker","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Bolden",11,2,3,0,0,2,2,1,2,3,0,0,0,0,1,2,6,"C","Played",TRUE,"4065652","marques-bolden","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Exum",27,7,11,3,5,6,6,1,3,4,5,1,1,4,3,33,23,"G","Played",TRUE,"3102528","dante-exum","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Windler",23,2,5,1,3,2,2,0,2,2,4,1,0,2,4,14,7,"G","Played",TRUE,"3906786","dylan-windler","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"L. Randolph",16,2,3,0,1,2,2,0,2,2,4,0,0,0,2,16,6,"G","Played",TRUE,"2595563","levi-randolph","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Mooney",5,0,2,0,0,0,0,1,0,1,1,0,0,0,0,13,0,"G","Played",TRUE,"3149036","matt-mooney","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"K. Love",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-SORE RIGHT ACHILLES TENDON",FALSE,"3449","kevin-love","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"C. Osman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-SPRAINED RIGHT ANKLE",FALSE,"3893016","cedi-osman","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"J. McGee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C","DNP-COACH'S DECISION",FALSE,"3452","javale-mcgee","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Dellavedova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-LOW BACK CONTUSION",FALSE,"2489716","matthew-dellavedova","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"C. Sexton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-SPRAINED RIGHT ANKLE",FALSE,"4277811","collin-sexton","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"K. Porter Jr.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-PERSONAL",FALSE,"4397140","kevin-porter-jr","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"C. Matthews",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-SORE RIGHT KNEE",FALSE,"3936297","charles-matthews","CLE","IND","401265842",2020-12-14,TRUE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Sabonis",26,8,13,0,2,2,3,4,5,9,3,0,0,1,2,5,18,"F","Played",TRUE,"3155942","domantas-sabonis","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Brogdon",26,4,10,3,5,0,0,0,0,0,3,2,0,1,3,3,11,"G","Played",TRUE,"2566769","malcolm-brogdon","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"A. Holiday",32,6,10,4,5,0,0,0,3,3,3,1,0,2,4,12,16,"G","Played",TRUE,"3922230","aaron-holiday","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Holiday",32,5,8,3,5,0,0,0,5,5,3,2,0,2,2,14,13,"G","Played",TRUE,"2284101","justin-holiday","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"V. Oladipo",24,2,11,2,6,3,4,0,2,2,2,1,0,0,2,8,9,"G","Played",TRUE,"2527963","victor-oladipo","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"D. McDermott",3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-9,0,"F","Played",TRUE,"2528588","doug-mcdermott","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Sampson",13,2,4,1,2,0,0,0,3,3,1,2,0,1,4,-5,5,"F","Played",TRUE,"2608891","jakarr-sampson","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T.J. McConnell",24,4,9,0,1,0,0,0,2,2,6,1,0,3,2,-26,8,"G","Played",TRUE,"2530530","tj-mcconnell","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"E. Sumner",19,4,7,1,3,2,3,0,3,3,0,0,1,0,3,-20,11,"G","Played",TRUE,"3136485","edmond-sumner","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Lecque",12,2,6,1,4,0,2,0,0,0,1,0,1,0,2,-8,5,"G","Played",TRUE,"4423887","jalen-lecque","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Martin",18,2,6,1,4,0,1,0,3,3,2,0,0,2,4,-16,5,"G","Played",TRUE,"3133596","kelan-martin","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Stanley",12,2,6,1,2,0,0,2,1,3,2,0,0,0,1,-8,5,"G","Played",TRUE,"4431686","cassius-stanley","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"R. Hammonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"4278065","rayshaun-hammonds","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T.J. Warren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-PLANTAR FASCIITIS",FALSE,"2982334","tj-warren","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"A. Brimah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C","DNP-NOT WITH TEAM",FALSE,"3074748","amida-brimah","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Turner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C","DNP-ILLNESS",FALSE,"3133628","myles-turner","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"G. Bitadze",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C","DNP-SPRAINED RIGHT ANKLE",FALSE,"4348700","goga-bitadze","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. Lamb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-TORN LEFT ACL",FALSE,"6603","jeremy-lamb","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"B. Bowen II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-LEFT GROIN TEAR",FALSE,"4277882","brian-bowen-ii","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"N. Mitrou-Long",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"2990968","naz-mitrou-long","IND","CLE","401265842",2020-12-14,FALSE,0,0,2021,"Pre-Season","L","Non-Playoff"
"P.J. Washington",24,4,11,1,5,0,0,3,3,6,5,2,2,4,2,2,9,"F","Played",TRUE,"4278078","pj-washington","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"G. Hayward",24,5,8,2,3,2,2,0,4,4,6,0,0,3,1,3,14,"F","Played",TRUE,"4249","gordon-hayward","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Zeller",17,2,3,0,0,6,6,1,3,4,2,0,0,1,5,6,10,"C","Played",TRUE,"2579258","cody-zeller","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"D. Graham",24,5,11,1,7,2,3,0,1,1,6,1,0,4,1,7,13,"G","Played",TRUE,"3133601","devonte-graham","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"T. Rozier",24,5,10,3,5,2,4,0,3,3,2,0,0,0,1,4,15,"G","Played",TRUE,"3074752","terry-rozier","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. McDaniels",15,5,7,3,3,2,3,1,1,2,1,0,1,2,3,-8,15,"F","Played",TRUE,"4066731","jalen-mcdaniels","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"X. Sneed",5,0,1,0,1,0,0,0,1,1,0,0,0,0,2,4,0,"F","Played",TRUE,"4066303","xavier-sneed","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Martin",12,1,2,0,1,0,0,0,1,1,0,0,0,0,6,1,2,"F","Played",TRUE,"3138160","caleb-martin","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"C. Martin",17,2,5,0,1,2,2,1,2,3,2,2,0,2,1,-3,6,"F","Played",TRUE,"3138161","cody-martin","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Bridges",18,1,2,0,1,0,0,0,6,6,3,0,2,3,0,-1,2,"F","Played",TRUE,"4066383","miles-bridges","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"B. Biyombo",16,2,3,0,0,1,4,1,1,2,1,0,0,0,2,-5,5,"C","Played",TRUE,"6427","bismack-biyombo","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"N. Richards",7,1,2,0,0,2,2,1,1,2,0,0,0,0,0,5,4,"C","Played",TRUE,"4278076","nick-richards","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"V. Carey Jr.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,"C","Played",TRUE,"4431669","vernon-carey-jr","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"L. Ball",20,3,10,2,6,4,6,0,3,3,2,1,1,3,2,-17,12,"G","Played",TRUE,"4432816","lamelo-ball","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"M. Monk",11,1,6,0,3,0,0,0,0,0,3,0,0,2,0,1,2,"G","Played",TRUE,"4066262","malik-monk","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"N. Darling",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,0,"G","Played",TRUE,"4067069","nate-darling","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"J. DeLaurier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"4065650","javin-delaurier","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Whitney",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"4431677","kahlil-whitney","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"G. Riller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-LEFT KNEE INJURY",FALSE,"3912295","grant-riller","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"K. Cook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-COACH'S DECISION",FALSE,"4397465","keandre-cook","CHA","TOR","401265843",2020-12-14,TRUE,0,0,2021,"Pre-Season","L","Non-Playoff"
"P. Siakam",23,5,7,2,4,0,0,1,4,5,3,1,0,1,2,-6,12,"F","Played",TRUE,"3149673","pascal-siakam","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"O. Anunoby",20,1,3,0,1,2,2,0,2,2,1,0,0,0,4,-17,4,"F","Played",TRUE,"3934719","og-anunoby","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Baynes",18,2,5,0,0,0,0,0,3,3,0,0,0,3,3,2,4,"C","Played",TRUE,"2968439","aron-baynes","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"N. Powell",18,4,11,1,7,0,0,0,1,1,2,0,0,1,0,-14,9,"G","Played",TRUE,"2595516","norman-powell","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"F. VanVleet",22,9,12,5,7,0,0,0,0,0,4,3,0,1,2,-6,23,"G","Played",TRUE,"2991230","fred-vanvleet","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"C. Boucher",14,0,2,0,1,1,1,1,7,8,1,0,1,2,3,-6,1,"F","Played",TRUE,"3948153","chris-boucher","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Johnson",4,0,0,0,0,1,2,0,2,2,1,0,0,1,1,-5,1,"F","Played",TRUE,"4067045","alize-johnson","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"O. Brissett",9,0,2,0,2,3,4,0,1,1,0,2,0,1,0,3,3,"F","Played",TRUE,"4278031","oshae-brissett","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"D. Bembry",16,2,5,1,3,4,4,0,2,2,2,1,0,1,1,17,9,"F","Played",TRUE,"3062667","deandre-bembry","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"Y. Watanabe",9,1,1,0,0,1,2,0,3,3,1,0,0,1,1,9,3,"F","Played",TRUE,"3133838","yuta-watanabe","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"S. Johnson",6,0,1,0,1,2,2,0,0,0,0,0,1,0,2,-4,2,"F","Played",TRUE,"3134881","stanley-johnson","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"A. Len",12,2,2,0,0,0,1,2,1,3,0,0,0,1,2,12,4,"C","Played",TRUE,"2596107","alex-len","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"H. Ellenson",4,1,3,1,3,1,2,0,2,2,0,0,0,1,1,-5,4,"C","Played",TRUE,"3906522","henry-ellenson","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Flynn",20,7,12,3,8,0,0,0,1,1,3,2,0,5,4,13,17,"G","Played",TRUE,"4066668","malachi-flynn","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"P. Watson",9,0,3,0,1,0,0,1,0,1,1,1,0,0,1,13,0,"G","Played",TRUE,"3058030","paul-watson","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"M. Thomas",15,1,5,0,2,0,0,0,1,1,1,1,1,1,0,0,2,"G","Played",TRUE,"3059311","matt-thomas","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"T. Davis",15,5,10,2,4,2,3,2,0,2,3,2,0,2,3,13,14,"G","Played",TRUE,"3919454","terence-davis","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"J. Harris",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,0,"G","Played",TRUE,"4066998","jalen-harris","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"P. McCaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F","DNP-COACH'S DECISION",FALSE,"3137730","patrick-mccaw","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
"K. Lowry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G","DNP-NOT WITH TEAM",FALSE,"3012","kyle-lowry","TOR","CHA","401265843",2020-12-14,FALSE,0,0,2021,"Pre-Season","W","Non-Playoff"
