"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","37457154",2020
"3468","russell-westbrook","Russell Westbrook","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","35654150",2020
"2779","chris-paul","Chris Paul","PG","HOU","houston-rockets","Houston Rockets","35654150",2020
"1966","lebron-james","LeBron James","SF","LAL","los-angeles-lakers","Los Angeles Lakers","35654150",2020
"3989","blake-griffin","Blake Griffin","PF","DET","detroit-pistons","Detroit Pistons","32088932",2020
"4249","gordon-hayward","Gordon Hayward","SF","BOS","boston-celtics","Boston Celtics","31214295",2020
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","31200000",2020
"4251","paul-george","Paul George","F","OKC","oklahoma-city-thunder","Oklahoma City Thunder","30560700",2020
"3195","mike-conley","Mike Conley","PG","MEM","memphis-grizzlies","Memphis Grizzlies","30521115",2020
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","30421854",2020
"3202","kevin-durant","Kevin Durant","SF","GS","golden-state-warriors","Golden State Warriors","30000000",2020
"3015","paul-millsap","Paul Millsap","F","DEN","denver-nuggets","Denver Nuggets","29230769",2020
"3213","al-horford","Al Horford","C","BOS","boston-celtics","Boston Celtics","28928709",2020
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","27977689",2020
"3978","demar-derozan","DeMar DeRozan","SG","SA","san-antonio-spurs","San Antonio Spurs","27739975",2020
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","WSH","washington-wizards","Washington Wizards","26011913",2020
"3995","jrue-holiday","Jrue Holiday","SG","NO","new-orleans-pelicans","New Orleans Pelicans","25976111",2020
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","25759766",2020
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","25467250",2020
"3059319","andrew-wiggins","Andrew Wiggins","SF","MIN","minnesota-timberwolves","Minnesota Timberwolves","25467250",2020
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","25434263",2020
"6583","anthony-davis","Anthony Davis","PF","NO","new-orleans-pelicans","New Orleans Pelicans","25434263",2020
"6585","andre-drummond","Andre Drummond","C","DET","detroit-pistons","Detroit Pistons","25434263",2020
"4262","hassan-whiteside","Hassan Whiteside","C","MIA","miami-heat","Miami Heat","25434262",2020
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","Denver Nuggets","24605181",2020
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","PF","MIL","milwaukee-bucks","Milwaukee Bucks","24157303",2020
"2991235","steven-adams","Steven Adams","C","OKC","oklahoma-city-thunder","Oklahoma City Thunder","24157303",2020
"3206","marc-gasol","Marc Gasol","C","MEM","memphis-grizzlies","Memphis Grizzlies","24119025",2020
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","24119025",2020
"6578","harrison-barnes","Harrison Barnes","F","SAC","sacramento-kings","Sacramento Kings","24107258",2020
"6466","chandler-parsons","Chandler Parsons","SF","MEM","memphis-grizzlies","Memphis Grizzlies","24107258",2020
"3416","nicolas-batum","Nicolas Batum","SF","CHA","charlotte-hornets","Charlotte Hornets","24000000",2020
"3032976","rudy-gobert","Rudy Gobert","C","UTAH","utah-jazz","Utah Jazz","23241573",2020
"6450","kawhi-leonard","Kawhi Leonard","F","TOR","toronto-raptors","Toronto Raptors","23114067",2020
"3442","deandre-jordan","DeAndre Jordan","C","NY","new-york-knicks","New York Knicks","22897200",2020
"2983","lamarcus-aldridge","LaMarcus Aldridge","PF","SA","san-antonio-spurs","San Antonio Spurs","22347015",2020
"3439","serge-ibaka","Serge Ibaka","F","TOR","toronto-raptors","Toronto Raptors","21666667",2020
"3064290","aaron-gordon","Aaron Gordon","PF","ORL","orlando-magic","Orlando Magic","21590909",2020
"3428","danilo-gallinari","Danilo Gallinari","PF","LAC","la-clippers","LA Clippers","21587579",2020
"2527963","victor-oladipo","Victor Oladipo","G","IND","indiana-pacers","Indiana Pacers","21000000",2020
"6430","jimmy-butler","Jimmy Butler","SF","PHI","philadelphia-76ers","Philadelphia 76ers","20445779",2020
"3412","ryan-anderson","Ryan Anderson","PF","PHX","phoenix-suns","Phoenix Suns","20421546",2020
"6442","kyrie-irving","Kyrie Irving","PG","BOS","boston-celtics","Boston Celtics","20099189",2020
"3056600","jabari-parker","Jabari Parker","F","WSH","washington-wizards","Washington Wizards","20000000",2020
"3064440","zach-lavine","Zach LaVine","SG","CHI","chicago-bulls","Chicago Bulls","19500000",2020
"2530276","tyler-johnson","Tyler Johnson","SG","PHX","phoenix-suns","Phoenix Suns","19356932",2020
"2528210","tim-hardaway-jr.","Tim Hardaway Jr.","SG","NY","new-york-knicks","New York Knicks","19200127",2020
"4237","john-wall","John Wall","PG","WSH","washington-wizards","Washington Wizards","19169800",2020
"3438","george-hill","George Hill","PG","MIL","milwaukee-bucks","Milwaukee Bucks","19000000",2020
"4015","jeff-teague","Jeff Teague","PG","MIN","minnesota-timberwolves","Minnesota Timberwolves","19000000",2020
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","18988725",2020
"2531210","allen-crabbe","Allen Crabbe","G","BKN","brooklyn-nets","Brooklyn Nets","18500000",2020
"3423","goran-dragic","Goran Dragic","PG","MIA","miami-heat","Miami Heat","18109175",2020
"6637","kent-bazemore","Kent Bazemore","SF","ATL","atlanta-hawks","Atlanta Hawks","18089887",2020
"4239","evan-turner","Evan Turner","G","POR","portland-trail-blazers","Portland Trail Blazers","17868853",2020
"6589","draymond-green","Draymond Green","PF","GS","golden-state-warriors","Golden State Warriors","17469565",2020
"6474","tristan-thompson","Tristan Thompson","C","CLE","cleveland-cavaliers","Cleveland Cavaliers","17469565",2020
"6588","evan-fournier","Evan Fournier","SG","ORL","orlando-magic","Orlando Magic","17150000",2020
"6443","reggie-jackson","Reggie Jackson","G","DET","detroit-pistons","Detroit Pistons","17043478",2020
"6427","bismack-biyombo","Bismack Biyombo","C","CHA","charlotte-hornets","Charlotte Hornets","17000000",2020
"4257","derrick-favors","Derrick Favors","C","UTAH","utah-jazz","Utah Jazz","16900000",2020
"6477","jonas-valanciunas","Jonas Valanciunas","C","MEM","memphis-grizzlies","Memphis Grizzlies","16539326",2020
"2999547","gary-harris","Gary Harris","G","DEN","denver-nuggets","Denver Nuggets","16517857",2020
"4298","timofey-mozgov","Timofey Mozgov","C","ORL","orlando-magic","Orlando Magic","16000000",2020
"2386","andre-iguodala","Andre Iguodala","SG","GS","golden-state-warriors","Golden State Warriors","16000000",2020
"2774","ian-mahinmi","Ian Mahinmi","C","WSH","washington-wizards","Washington Wizards","15944154",2020
"3032979","dennis-schroder","Dennis Schroder","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","15500000",2020
"3970","demarre-carroll","DeMarre Carroll","F","BKN","brooklyn-nets","Brooklyn Nets","15400000",2020
"2534781","gorgui-dieng","Gorgui Dieng","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","15170787",2020
"2426","trevor-ariza","Trevor Ariza","SF","WSH","washington-wizards","Washington Wizards","15000000",2020
"4238","eric-bledsoe","Eric Bledsoe","PG","MIL","milwaukee-bucks","Milwaukee Bucks","15000000",2020
"4011","ricky-rubio","Ricky Rubio","PG","UTAH","utah-jazz","Utah Jazz","14975000",2020
"6440","tobias-harris","Tobias Harris","F","PHI","philadelphia-76ers","Philadelphia 76ers","14800000",2020
"2444","jr-smith","JR Smith","G","CLE","cleveland-cavaliers","Cleveland Cavaliers","14720000",2020
"4250","luke-babbitt","Luke Babbitt","F","MIA","miami-heat","Miami Heat","14651700",2020
"3999","james-johnson","James Johnson","PF","MIA","miami-heat","Miami Heat","14651700",2020
"6448","brandon-knight","Brandon Knight","G","HOU","houston-rockets","Houston Rockets","14631250",2020
"3447","robin-lopez","Robin Lopez","C","CHI","chicago-bulls","Chicago Bulls","14357750",2020
"2797","marvin-williams","Marvin Williams","F","CHA","charlotte-hornets","Charlotte Hornets","14087500",2020
"3986","taj-gibson","Taj Gibson","F","MIN","minnesota-timberwolves","Minnesota Timberwolves","14000000",2020
"3244","thaddeus-young","Thaddeus Young","PF","IND","indiana-pacers","Indiana Pacers","13964045",2020
"3102529","clint-capela","Clint Capela","C","HOU","houston-rockets","Houston Rockets","13793104",2020
"2758","marcin-gortat","Marcin Gortat","C","LAC","la-clippers","LA Clippers","13565218",2020
"2579258","cody-zeller","Cody Zeller","PF","CHA","charlotte-hornets","Charlotte Hornets","13528090",2020
"3431","eric-gordon","Eric Gordon","SG","HOU","houston-rockets","Houston Rockets","13500375",2020
"2968436","joe-ingles","Joe Ingles","SF","UTAH","utah-jazz","Utah Jazz","13045455",2020
"6601","michael-kidd-gilchrist","Michael Kidd-Gilchrist","F","CHA","charlotte-hornets","Charlotte Hornets","13000000",2020
