"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"P. Siakam","38","11","26","2","5","10","11","6","12","18","5","0","1","4","6","5","34","F","Played",TRUE,"3149673","pascal-siakam","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"O. Anunoby","36","5","12","1","4","0","1","3","4","7","0","0","2","1","3","12","11","F","Played",TRUE,"3934719","og-anunoby","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"M. Gasol","32","2","9","1","4","1","1","1","3","4","1","0","0","0","5","-2","6","C","Played",TRUE,"3206","marc-gasol","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"K. Lowry","45","4","15","3","11","11","13","1","4","5","6","2","0","4","4","-1","22","G","Played",TRUE,"3012","kyle-lowry","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"F. VanVleet","44","12","18","5","7","5","6","0","5","5","7","2","0","2","0","18","34","G","Played",TRUE,"2991230","fred-vanvleet","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"S. Ibaka","26","4","10","0","1","5","6","2","3","5","0","1","0","3","2","6","13","C","Played",TRUE,"3439","serge-ibaka","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"N. Powell","29","2","7","1","5","0","0","1","7","8","2","0","0","2","2","2","5","G","Played",TRUE,"2595516","norman-powell","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"T. Davis","15","2","6","1","3","0","0","2","3","5","2","2","0","0","2","0","5","G","Played",TRUE,"3919454","terence-davis","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"C. Boucher","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"3948153","chris-boucher","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"M. Miller","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"2580980","malcolm-miller","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"D. Hernandez","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"4065672","dewan-hernandez","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"S. Johnson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"3134881","stanley-johnson","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"M. Thomas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3059311","matt-thomas","TOR","NO","401160623",2019-10-22,TRUE,0,1,2020,"Regular-Season","W","Non-Playoff"
"B. Ingram","35","8","19","2","5","4","4","0","5","5","5","1","2","2","4","-19","22","F","Played",TRUE,"3913176","brandon-ingram","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"D. Favors","21","3","6","0","0","0","0","1","6","7","2","0","1","1","5","-12","6","C","Played",TRUE,"4257","derrick-favors","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"J. Holiday","41","6","15","1","6","0","2","2","2","4","6","0","2","5","2","-14","13","G","Played",TRUE,"3995","jrue-holiday","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"L. Ball","25","2","7","2","3","2","2","0","5","5","5","0","0","1","2","-7","8","G","Played",TRUE,"4066421","lonzo-ball","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"J. Redick","27","6","9","4","6","0","0","0","2","2","1","0","0","3","3","-14","16","G","Played",TRUE,"3024","jj-redick","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"N. Melli","20","5","7","4","5","0","0","2","3","5","2","0","0","2","1","11","14","F","Played",TRUE,"4341","nicolo-melli","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"J. Okafor","12","3","3","0","0","2","3","2","0","2","0","0","1","1","3","-7","8","C","Played",TRUE,"3135048","jahlil-okafor","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"F. Jackson","14","3","6","1","3","2","2","0","0","0","1","0","0","1","3","7","9","G","Played",TRUE,"4065651","frank-jackson","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"E. Moore","12","2","7","1","3","0","0","1","2","3","2","0","0","0","0","-1","5","G","Played",TRUE,"6460","etwaun-moore","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"J. Hart","28","4","9","3","5","4","4","4","6","10","1","0","1","1","4","-1","15","G","Played",TRUE,"3062679","josh-hart","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"K. Williams","18","0","4","0","2","3","3","3","3","6","3","1","2","1","5","11","3","G","Played",TRUE,"3133626","kenrich-williams","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"N. Alexander-Walker","12","1","10","1","7","0","0","1","3","4","2","2","0","1","2","6","3","G","Played",TRUE,"4278039","nickeil-alexander-walker","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"J. Hayes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C","DNP-COACH'S DECISION",FALSE,"4397077","jaxson-hayes","NO","TOR","401160623",2019-10-22,FALSE,0,1,2020,"Regular-Season","L","Non-Playoff"
"P. Patterson","17","1","3","1","3","1","2","1","2","3","0","0","0","0","2","-2","4","F","Played",TRUE,"4264","patrick-patterson","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"K. Leonard","32","10","19","1","5","9","10","1","5","6","5","2","1","6","5","5","30","F","Played",TRUE,"6450","kawhi-leonard","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"I. Zubac","10","4","4","0","0","0","0","1","0","1","0","0","0","0","2","-5","8","C","Played",TRUE,"4017837","ivica-zubac","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"P. Beverley","31","1","7","0","5","0","0","2","8","10","6","0","1","2","4","13","2","G","Played",TRUE,"3964","patrick-beverley","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"L. Shamet","26","3","8","2","4","0","0","0","3","3","2","0","0","0","1","-1","8","G","Played",TRUE,"3914044","landry-shamet","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"J. Green","19","4","8","4","7","0","0","1","5","6","0","0","0","1","3","5","12","F","Played",TRUE,"2327577","jamychal-green","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Harkless","29","4","7","2","3","0","0","2","2","4","0","4","2","0","5","7","10","F","Played",TRUE,"6591","maurice-harkless","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Harrell","38","7","11","0","0","3","8","2","5","7","4","1","1","3","3","15","17","C","Played",TRUE,"2991055","montrezl-harrell","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"L. Williams","37","8","14","1","4","4","4","1","4","5","7","1","0","2","0","13","21","G","Played",TRUE,"2799","lou-williams","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Kabengele","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"4065660","mfiondu-kabengele","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"J. Motley","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"3059306","johnathan-motley","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"T. Mann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3907823","terance-mann","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"J. Robinson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3943606","jerome-robinson","LAC","LAL","401160624",2019-10-22,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"A. Davis","37","8","21","0","2","9","14","3","6","9","5","1","2","3","3","3","25","F","Played",TRUE,"6583","anthony-davis","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"L. James","36","7","19","1","5","3","4","1","9","10","8","1","1","5","3","-8","18","F","Played",TRUE,"1966","lebron-james","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"D. Green","32","10","14","7","9","1","1","1","6","7","0","2","1","0","3","7","28","F","Played",TRUE,"3988","danny-green","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"J. McGee","17","2","3","0","0","0","0","1","1","2","0","0","2","1","0","0","4","C","Played",TRUE,"3452","javale-mcgee","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"A. Bradley","24","3","7","2","5","0","0","0","3","3","0","0","0","2","3","-1","8","G","Played",TRUE,"4240","avery-bradley","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"J. Dudley","13","2","2","2","2","0","0","0","0","0","0","0","0","0","2","-20","6","F","Played",TRUE,"3201","jared-dudley","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"D. Howard","19","1","3","0","0","1","1","3","3","6","1","0","1","0","4","-1","3","C","Played",TRUE,"2384","dwight-howard","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"Q. Cook","17","2","7","0","3","0","0","0","1","1","2","0","0","1","0","-9","4","G","Played",TRUE,"2566745","quinn-cook","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"K. Caldwell-Pope","27","0","3","0","2","0","0","0","3","3","3","0","0","1","5","-8","0","G","Played",TRUE,"2581018","kentavious-caldwell-pope","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"T. Daniels","16","2","6","1","5","1","1","0","0","0","1","0","0","1","1","-13","6","G","Played",TRUE,"2489530","troy-daniels","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"K. Antetokounmpo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"4066490","kostas-antetokounmpo","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"A. Caruso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"2991350","alex-caruso","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"Z. Norvell Jr.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"4066649","zach-norvell-jr","LAL","LAC","401160624",2019-10-22,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"P.J. Washington","38","9","17","7","11","2","2","1","3","4","1","1","1","4","2","8","27","F","Played",TRUE,"4278078","pj-washington","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"D. Bacon","33","8","21","2","8","4","6","1","4","5","3","2","0","2","2","-3","22","F","Played",TRUE,"3907821","dwayne-bacon","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Bridges","32","4","7","0","2","0","0","0","5","5","3","0","3","3","0","2","8","F","Played",TRUE,"4066383","miles-bridges","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"C. Zeller","35","6","11","0","2","3","4","4","8","12","1","0","0","1","4","3","15","C","Played",TRUE,"2579258","cody-zeller","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"T. Rozier","30","2","10","2","6","1","1","1","3","4","6","0","0","4","1","-18","7","G","Played",TRUE,"3074752","terry-rozier","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"N. Batum","11","0","0","0","0","0","0","1","3","4","2","0","0","2","2","1","0","F","Played",TRUE,"3416","nicolas-batum","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Williams","17","6","9","5","7","0","0","0","2","2","1","0","0","0","1","1","17","F","Played",TRUE,"2797","marvin-williams","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"D. Graham","27","7","9","6","7","3","3","1","3","4","8","0","0","1","3","14","23","G","Played",TRUE,"3133601","devonte-graham","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Monk","17","3","4","1","1","0","0","0","1","1","3","0","0","2","3","-3","7","G","Played",TRUE,"4066262","malik-monk","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"M. Kidd-Gilchrist","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"6601","michael-kidd-gilchrist","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"C. Martin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"3138160","caleb-martin","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"B. Biyombo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C","DNP-COACH'S DECISION",FALSE,"6427","bismack-biyombo","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"W. Hernangomez","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C","DNP-COACH'S DECISION",FALSE,"2999409","willy-hernangomez","CHA","CHI","401160625",2019-10-23,TRUE,0,0,2020,"Regular-Season","W","Non-Playoff"
"L. Markkanen","34","13","25","1","7","8","10","5","12","17","2","1","0","1","1","-8","35","F","Played",TRUE,"4066336","lauri-markkanen","CHI","CHA","401160625",2019-10-23,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"O. Porter Jr.","28","3","10","1","5","2","2","0","2","2","1","2","1","0","2","14","9","F","Played",TRUE,"2594922","otto-porter-jr","CHI","CHA","401160625",2019-10-23,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"W. Carter Jr.","29","5","11","0","0","2","2","5","4","9","0","0","1","1","4","2","12","C","Played",TRUE,"4277847","wendell-carter-jr","CHI","CHA","401160625",2019-10-23,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"T. Satoransky","24","1","5","0","0","0","0","0","0","0","3","0","1","0","2","4","2","G","Played",TRUE,"6621","tomas-satoransky","CHI","CHA","401160625",2019-10-23,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
"Z. LaVine","30","7","17","1","4","1","1","3","3","6","7","2","1","5","3","-8","16","G","Played",TRUE,"3064440","zach-lavine","CHI","CHA","401160625",2019-10-23,FALSE,0,0,2020,"Regular-Season","L","Non-Playoff"
