"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"J. Randle","19","3","6","0","1","0","1","1","6","7","0","0","0","4","5","-5","6","F","Played",TRUE,"3064514","julius-randle","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"L. Deng","16","3","7","1","2","1","2","1","1","2","0","0","0","1","0","-5","8","F","Played",TRUE,"2429","luol-deng","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"T. Mozgov","22","2","4","0","0","2","2","3","6","9","2","0","0","1","1","-2","6","C","Played",TRUE,"4298","timofey-mozgov","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"L. Williams","21","2","7","0","4","11","12","0","1","1","2","1","0","1","1","0","15","G","Played",TRUE,"2799","lou-williams","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"D. Russell","25","2","8","0","2","0","0","0","2","2","3","3","0","5","3","-11","4","G","Played",TRUE,"3136776","dangelo-russell","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"L. Nance Jr.","24","3","6","1","1","2","6","2","2","4","2","2","3","0","3","20","9","F","Played",TRUE,"2580365","larry-nance-jr","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"T. Robinson","7","3","3","0","0","2","4","2","5","7","0","0","0","0","1","10","8","F","Played",TRUE,"6618","thomas-robinson","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"T. Wear","5","1","2","1","2","0","0","0","0","0","0","0","0","0","1","4","3","F","Played",TRUE,"2488674","travis-wear","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"A. Brown","7","4","4","2","2","0","0","1","2","3","0","0","0","1","0","9","10","F","Played",TRUE,"2531362","anthony-brown","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"Y. Jianlian","3","0","1","0","0","0","0","0","2","2","0","0","0","0","1","-9","0","F","Played",TRUE,"3214","yi-jianlian","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"B. Ingram","27","0","5","0","4","2","4","0","2","2","1","1","2","1","2","20","2","F","Played",TRUE,"3913176","brandon-ingram","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"T. Black","16","5","5","0","0","5","8","2","3","5","1","1","1","2","4","20","15","C","Played",TRUE,"2528393","tarik-black","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"I. Zubac","5","0","2","0","0","0","0","0","1","1","0","0","1","1","0","4","0","C","Played",TRUE,"4017837","ivica-zubac","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"J. Clarkson","20","4","9","2","6","2","4","0","6","6","1","1","0","1","2","10","12","G","Played",TRUE,"2528426","jordan-clarkson","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"M. Huertas","7","0","1","0","0","0","0","0","0","0","2","1","0","1","2","0","0","G","Played",TRUE,"2968363","marcelinho-huertas","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"J. Jacobs","5","0","1","0","0","0","0","0","0","0","2","0","0","1","2","4","0","G","Played",TRUE,"3064450","julian-jacobs","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"J. Calderon","11","2","3","1","2","0","0","0","1","1","3","0","0","0","0","26","5","G","Played",TRUE,"2806","jose-calderon","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"Z. Auguste","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"2991247","zach-auguste","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"M. World Peace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"25","metta-world-peace","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"N. Young","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3243","nick-young","LAL","SAC","400889799",2016-10-04,TRUE,1,0,2017,"Pre-Season","W","Non-Playoff"
"R. Gay","16","3","6","0","1","2","2","0","4","4","3","2","1","0","1","13","8","F","Played",TRUE,"3005","rudy-gay","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"K. Koufos","14","1","4","0","0","0","0","1","1","2","1","0","0","0","0","2","2","C","Played",TRUE,"3444","kosta-koufos","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"D. Cousins","15","3","5","0","0","5","6","1","5","6","4","0","1","3","1","17","11","C","Played",TRUE,"4258","demarcus-cousins","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"A. Afflalo","18","6","9","2","3","0","0","1","4","5","0","1","0","1","3","12","14","G","Played",TRUE,"3187","arron-afflalo","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"D. Collison","12","0","1","0","0","2","3","0","0","0","0","0","0","1","0","4","2","G","Played",TRUE,"3973","darren-collison","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"A. Tolliver","15","1","4","0","2","2","2","0","1","1","1","0","0","0","5","1","4","F","Played",TRUE,"3276","anthony-tolliver","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"O. Casspi","16","2","7","1","2","3","5","0","3","3","1","2","0","1","0","-4","8","F","Played",TRUE,"3554","omri-casspi","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"S. Labissiere","15","0","4","0","0","0","0","0","2","2","0","0","1","0","3","-29","0","F","Played",TRUE,"3936296","skal-labissiere","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"W. Cauley-Stein","19","1","3","0","0","2","3","1","3","4","3","1","0","2","3","5","4","C","Played",TRUE,"2991282","willie-cauley-stein","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"G. Papagiannis","16","1","4","0","0","1","2","1","1","2","1","0","0","1","3","-30","3","C","Played",TRUE,"4017846","georgios-papagiannis","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"G. Temple","24","3","10","1","4","1","2","1","1","2","0","1","0","3","2","-40","8","G","Played",TRUE,"4023","garrett-temple","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"L. Patterson","11","1","3","0","2","2","2","1","1","2","0","1","0","1","1","-24","4","G","Played",TRUE,"2488721","lamar-patterson","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"T. Lawson","22","1","4","0","1","2","2","0","3","3","2","0","0","3","3","3","4","G","Played",TRUE,"4000","ty-lawson","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"B. McLemore","15","3","10","1","4","0","0","0","2","2","0","1","0","0","2","-1","7","G","Played",TRUE,"2578213","ben-mclemore","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"M. Richardson","12","2","4","0","0","1","2","0","0","0","0","0","0","2","2","-24","5","G","Played",TRUE,"3934663","malachi-richardson","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"M. Barnes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"1765","matt-barnes","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"J. Farmar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3002","jordan-farmar","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"I. Cousins","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"2990983","isaiah-cousins","SAC","LAL","400889799",2016-10-04,FALSE,1,0,2017,"Pre-Season","L","Non-Playoff"
"J. Randle","21","3","5","0","1","0","0","1","5","6","3","1","0","2","2","-5","6","F","Played",TRUE,"3064514","julius-randle","LAL","DEN","400889800",2016-10-07,TRUE,0,0,2017,"Pre-Season","L","Non-Playoff"
