"Shot","Description","Home","Quarter","Player_Id","Left","Top","Made","Game_Id"
"0"" ","Robert Covington misses 27-foot three point jumper","away","1","2490620","34.44444444444444","60.0",0,"401070213"
"1"" ","Joel Embiid makes two point shot (Ben Simmons assists)","away","1","3059318","5.555555555555555","52.0",1,"401070213"
"2"" ","Dario Saric misses 26-foot three point pullup jump shot","away","1","3032978","26.666666666666668","14.0",0,"401070213"
"3"" ","Joel Embiid misses driving layup","away","1","3059318","6.666666666666667","52.0",0,"401070213"
"4"" ","Markelle Fultz misses two point shot","away","1","4066636","6.666666666666667","48.0",0,"401070213"
"5"" ","Al Horford blocks Joel Embiid 's 3-foot layup","away","1","3059318","5.555555555555555","56.0",0,"401070213"
"6"" ","Al Horford blocks Joel Embiid's two point shot","away","1","3059318","4.444444444444445","50.0",0,"401070213"
"7"" ","Markelle Fultz misses 17-foot pullup jump shot","away","1","4066636","22.22222222222222","38.0",0,"401070213"
"8"" ","Dario Saric makes 3-foot layup (Ben Simmons assists)","away","1","3032978","6.666666666666667","48.0",1,"401070213"
"9"" ","Dario Saric makes driving layup","away","1","3032978","6.666666666666667","42.00000000000001",1,"401070213"
"10"" ","Joel Embiid makes 14-foot two point shot","away","1","3059318","17.77777777777778","34.0",1,"401070213"
"11"" ","Robert Covington misses 27-foot three point pullup jump shot","away","1","2490620","28.888888888888886","20.0",0,"401070213"
"12"" ","Ben Simmons misses 18-foot jumper","away","1","3907387","22.22222222222222","66.0",0,"401070213"
"13"" ","JJ Redick misses 20-foot pullup jump shot","away","1","3024","24.444444444444443","68.0",0,"401070213"
"14"" ","Al Horford blocks JJ Redick 's 6-foot driving floating jump shot","away","1","3024","8.88888888888889","42.00000000000001",0,"401070213"
"15"" ","Ben Simmons makes two point shot","away","1","3907387","5.555555555555555","50.0",1,"401070213"
"18"" ","JJ Redick misses 27-foot three point jumper","away","1","3024","34.44444444444444","58.0",0,"401070213"
"19"" ","JJ Redick makes 26-foot three point jumper (T.J. McConnell assists)","away","1","3024","26.666666666666668","84.0",1,"401070213"
"20"" ","Ben Simmons misses two point shot","away","1","3907387","5.555555555555555","56.0",0,"401070213"
"21"" ","Joel Embiid misses 18-foot two point shot","away","1","3059318","23.333333333333332","66.0",0,"401070213"
"24"" ","Ben Simmons makes two point shot","away","1","3907387","6.666666666666667","50.0",1,"401070213"
"25"" ","Dario Saric makes two point shot (Ben Simmons assists)","away","1","3032978","5.555555555555555","52.0",1,"401070213"
"26"" ","Joel Embiid makes driving layup","away","1","3059318","6.666666666666667","50.0",1,"401070213"
"27"" ","Joel Embiid misses 6-foot two point shot","away","2","3059318","8.88888888888889","42.00000000000001",0,"401070213"
"28"" ","Terry Rozier blocks Joel Embiid 's 2-foot layup","away","2","3059318","5.555555555555555","54.0",0,"401070213"
"29"" ","T.J. McConnell misses 27-foot three point jumper","away","2","2530530","32.22222222222222","74.0",0,"401070213"
"30"" ","Markelle Fultz makes 14-foot pullup jump shot","away","2","4066636","20.0","46.0",1,"401070213"
"31"" ","Joel Embiid makes 28-foot three point jumper (Markelle Fultz assists)","away","2","3059318","34.44444444444444","40.0",1,"401070213"
"32"" ","Landry Shamet misses 21-foot jumper","away","2","3914044","27.77777777777778","54.0",0,"401070213"
"33"" ","Robert Covington misses 26-foot three point jumper","away","2","2490620","28.888888888888886","80.0",0,"401070213"
"34"" ","Landry Shamet misses 27-foot three point jumper","away","2","3914044","26.666666666666668","14.0",0,"401070213"
"35"" ","Markelle Fultz misses 14-foot pullup jump shot","away","2","4066636","18.88888888888889","64.0",0,"401070213"
"36"" ","Ben Simmons makes 3-foot dunk","away","2","3907387","7.777777777777778","48.0",1,"401070213"
"37"" ","Markelle Fultz misses two point shot","away","2","4066636","5.555555555555555","43.99999999999999",0,"401070213"
"38"" ","Ben Simmons misses 12-foot two point shot","away","2","3907387","13.333333333333334","66.0",0,"401070213"
"39"" ","Ben Simmons makes 9-foot two point shot","away","2","3907387","11.11111111111111","62.0",1,"401070213"
"42"" ","Markelle Fultz makes layup (Ben Simmons assists)","away","2","4066636","7.777777777777778","48.0",1,"401070213"
"45"" ","JJ Redick misses 20-foot jumper","away","2","3024","10.0","10.0",0,"401070213"
"46"" ","Joel Embiid makes 2-foot dunk (Ben Simmons assists)","away","2","3059318","6.666666666666667","48.0",1,"401070213"
"47"" ","JJ Redick misses 26-foot three point jumper","away","2","3024","31.11111111111111","70.0",0,"401070213"
"48"" ","Robert Covington makes 3-foot layup (Markelle Fultz assists)","away","2","2490620","6.666666666666667","46.0",1,"401070213"
"49"" ","JJ Redick makes jumper (Joel Embiid assists)","away","2","3024","4.444444444444445","88.0",1,"401070213"
"50"" ","JJ Redick makes 20-foot pullup jump shot","away","2","3024","23.333333333333332","30.0",1,"401070213"
"51"" ","Joel Embiid misses 28-foot three point jumper","away","2","3059318","31.11111111111111","22.0",0,"401070213"
"52"" ","Robert Covington misses 28-foot three point jumper","away","2","2490620","26.666666666666668","10.0",0,"401070213"
"53"" ","Ben Simmons makes 4-foot two point shot","away","3","3907387","8.88888888888889","46.0",1,"401070213"
"55"" ","JJ Redick misses 27-foot three point jumper","away","3","3024","26.666666666666668","86.0",0,"401070213"
"56"" ","JJ Redick misses 27-foot three point jumper","away","3","3024","26.666666666666668","86.0",0,"401070213"
"57"" ","JJ Redick misses 16-foot jumper","away","3","3024","17.77777777777778","30.0",0,"401070213"
"58"" ","Al Horford blocks Ben Simmons 's 6-foot two point shot","away","3","3907387","10.0","56.0",0,"401070213"
"59"" ","Joel Embiid makes two point shot (Ben Simmons assists)","away","3","3059318","5.555555555555555","52.0",1,"401070213"
"60"" ","Dario Saric misses 27-foot three point jumper","away","3","3032978","33.33333333333333","40.0",0,"401070213"
"61"" ","Joel Embiid misses 6-foot two point shot","away","3","3059318","10.0","48.0",0,"401070213"
"62"" ","Joel Embiid makes 5-foot two point shot","away","3","3059318","8.88888888888889","46.0",1,"401070213"
"63"" ","JJ Redick misses 26-foot three point jumper","away","3","3024","24.444444444444443","88.0",0,"401070213"
"64"" ","Robert Covington makes 26-foot three point jumper (Ben Simmons assists)","away","3","2490620","25.555555555555554","16.0",1,"401070213"
"65"" ","T.J. McConnell makes driving layup","away","3","2530530","6.666666666666667","50.0",1,"401070213"
"66"" ","Robert Covington misses 21-foot pullup jump shot","away","3","2490620","25.555555555555554","66.0",0,"401070213"
"67"" ","Robert Covington makes 27-foot three point jumper (T.J. McConnell assists)","away","3","2490620","27.77777777777778","84.0",1,"401070213"
"68"" ","Ben Simmons misses two point shot","away","3","3907387","5.555555555555555","48.0",0,"401070213"
"69"" ","Robert Covington misses driving floating jump shot","away","3","2490620","10.0","48.0",0,"401070213"
"70"" ","T.J. McConnell misses 18-foot jumper","away","3","2530530","6.666666666666667","14.0",0,"401070213"
"71"" ","JJ Redick makes 18-foot pullup jump shot (Amir Johnson assists)","away","3","3024","24.444444444444443","42.00000000000001",1,"401070213"
"72"" ","Robert Covington misses 28-foot three point jumper","away","3","2490620","32.22222222222222","78.0",0,"401070213"
"73"" ","Landry Shamet misses 20-foot pullup jump shot","away","3","3914044","26.666666666666668","46.0",0,"401070213"
