"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"K. Love","28","4","9","1","4","6","7","3","8","11","0","0","0","2","2","1","15","F","Played",TRUE,"3449","kevin-love","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"J. Crowder","35","3","10","1","5","4","4","1","4","5","2","2","0","1","2","7","11","F","Played",TRUE,"6581","jae-crowder","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"L. James","41","12","19","1","5","4","4","1","15","16","9","0","2","4","3","2","29","F","Played",TRUE,"1966","lebron-james","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"D. Rose","31","5","14","1","3","3","4","1","3","4","2","0","0","2","2","-7","14","G","Played",TRUE,"3456","derrick-rose","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"D. Wade","29","3","10","0","1","2","2","1","1","2","3","0","2","4","1","0","8","G","Played",TRUE,"1987","dwyane-wade","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"J. Green","14","3","8","0","1","0","0","0","0","0","0","0","0","1","3","-2","6","F","Played",TRUE,"3209","jeff-green","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"T. Thompson","20","2","3","0","0","1","3","1","5","6","2","0","0","2","3","2","5","F","Played",TRUE,"6474","tristan-thompson","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"I. Shumpert","13","2","3","0","0","0","0","1","1","2","0","1","0","1","3","6","4","G","Played",TRUE,"6468","iman-shumpert","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"K. Korver","7","0","0","0","0","0","0","0","0","0","0","0","0","0","2","-1","0","G","Played",TRUE,"2011","kyle-korver","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"J. Smith","22","4","7","1","3","1","1","0","4","4","1","0","0","0","4","7","10","G","Played",TRUE,"2444","jr-smith","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"C. Frye","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"2754","channing-frye","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"C. Osman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"3893016","cedi-osman","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"J. Calderon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"2806","jose-calderon","CLE","BOS","400974437",2017-10-17,TRUE,0,0,2018,"Regular-Season","W","Non-Playoff"
"G. Hayward","5","1","2","0","1","0","0","0","1","1","0","0","0","0","1","3","2","F","Played",TRUE,"4249","gordon-hayward","BOS","CLE","400974437",2017-10-17,FALSE,0,0,2018,"Regular-Season","L","Non-Playoff"
"J. Tatum","37","5","12","1","2","3","3","4","6","10","3","0","0","1","4","6","14","F","Played",TRUE,"4065648","jayson-tatum","BOS","CLE","400974437",2017-10-17,FALSE,0,0,2018,"Regular-Season","L","Non-Playoff"
"A. Horford","32","2","7","0","2","5","7","0","7","7","5","0","1","0","2","8","9","C","Played",TRUE,"3213","al-horford","BOS","CLE","400974437",2017-10-17,FALSE,0,0,2018,"Regular-Season","L","Non-Playoff"
"K. Irving","39","8","17","4","9","2","2","2","2","4","10","3","0","2","4","-1","22","G","Played",TRUE,"6442","kyrie-irving","BOS","CLE","400974437",2017-10-17,FALSE,0,0,2018,"Regular-Season","L","Non-Playoff"
