"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","37457154",2020,6.25,6,3,193,1988-03-14,"2009","1","7","GS"
"3989","blake-griffin","Blake Griffin","PF","LAC","la-clippers","LA Clippers","32088932",2020,6.75,6,9,250,1989-03-16,"2009","1","1","LAC"
"3015","paul-millsap","Paul Millsap","PF","DEN","denver-nuggets","Denver Nuggets","31269231",2020,6.58333333333333,6,7,257,1985-02-10,"2006","2","47","UTAH"
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","31200000",2020,6,6,0,196,1986-03-25,"2006","1","24","MEM"
"4249","gordon-hayward","Gordon Hayward","SF","BOS","boston-celtics","Boston Celtics","29727900",2020,6.58333333333333,6,7,225,1990-03-23,"2010","1","9","UTAH"
"3468","russell-westbrook","Russell Westbrook","PG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","28530608",2020,6.25,6,3,200,1988-11-12,"2008","1","4","SEA"
"3195","mike-conley","Mike Conley","PG","MEM","memphis-grizzlies","Memphis Grizzlies","28530608",2020,6.08333333333333,6,1,175,1987-10-11,"2007","1","4","MEM"
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","28299399",2020,6.41666666666667,6,5,220,1989-08-26,"2009","1","3","OKC"
"3978","demar-derozan","DeMar DeRozan","SF","TOR","toronto-raptors","Toronto Raptors","27739975",2020,6.5,6,6,220,1989-08-07,"2009","1","9","TOR"
"3213","al-horford","Al Horford","C","BOS","boston-celtics","Boston Celtics","27734406",2020,6.75,6,9,240,1986-06-03,"2007","1","3","ATL"
"1975","carmelo-anthony","Carmelo Anthony","PF","OKC","oklahoma-city-thunder","Oklahoma City Thunder","26243760",2020,6.58333333333333,6,7,238,1984-05-29,"2003","1","3","DEN"
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","26153057",2020,6.16666666666667,6,2,195,1990-07-15,"2012","1","6","POR"
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","WSH","washington-wizards","Washington Wizards","26011913",2020,6.66666666666667,6,8,228,1993-06-03,"2013","1","3","WSH"
"3995","jrue-holiday","Jrue Holiday","PG","NO","new-orleans-pelicans","New Orleans Pelicans","25686667",2020,6.25,6,3,229,1990-06-12,"2009","1","17","PHI"
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","25434263",2020,6.25,6,3,207,1993-06-28,"2012","1","3","WSH"
"6585","andre-drummond","Andre Drummond","C","DET","detroit-pistons","Detroit Pistons","25434263",2020,6.83333333333333,6,10,279,1993-08-10,"2012","1","9","DET"
"4262","hassan-whiteside","Hassan Whiteside","C","MIA","miami-heat","Miami Heat","25434262",2020,7,7,0,265,1989-06-13,"2010","2","33","SAC"
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","25250000",2020,7,7,0,280,1994-03-16,"2014","1","3","PHI"
"2779","chris-paul","Chris Paul","PG","HOU","houston-rockets","Houston Rockets","24599495",2020,6,6,0,175,1985-05-06,"2005","1","4","NO"
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","PF","MIL","milwaukee-bucks","Milwaukee Bucks","24157303",2020,6.91666666666667,6,11,250,1994-12-06,"2013","1","15","MIL"
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","24119025",2020,6.66666666666667,6,8,247,1988-09-07,"2008","1","5","MEM"
"3416","nicolas-batum","Nicolas Batum","PF","CHA","charlotte-hornets","Charlotte Hornets","24000000",2020,6.66666666666667,6,8,230,1988-12-14,"2008","1","25","HOU"
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","23962573",2020,6.25,6,3,190,1991-09-19,"2013","1","10","POR"
"2384","dwight-howard","Dwight Howard","C","CHA","charlotte-hornets","Charlotte Hornets","23819725",2020,6.83333333333333,6,10,260,1985-12-08,"2004","1","1","ORL"
"6583","anthony-davis","Anthony Davis","PF","NO","new-orleans-pelicans","New Orleans Pelicans","23775506",2020,6.83333333333333,6,10,253,1993-03-11,"2012","1","1","NO"
"6578","harrison-barnes","Harrison Barnes","SF","DAL","dallas-mavericks","Dallas Mavericks","23112004",2020,6.66666666666667,6,8,225,1992-05-30,"2012","1","7","GS"
"6466","chandler-parsons","Chandler Parsons","SF","MEM","memphis-grizzlies","Memphis Grizzlies","23112004",2020,NA,NA,NA,NA,NA,"2011","2","38","HOU"
