"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season"
"3892894","zhou-qi","Zhou Qi","C","HOU","houston-rockets","Houston Rockets","1378242",2020
"2198243","aaron-jackson","Aaron Jackson","F","HOU","houston-rockets","Houston Rockets","1378242",2020
"4066424","ike-anigbogu","Ike Anigbogu","C","NO","new-orleans-pelicans","New Orleans Pelicans","1378242",2020
"1975","carmelo-anthony","Carmelo Anthony","PF","POR","portland-trail-blazers","Portland Trail Blazers","1364204",2020
"3064308","jabari-bird","Jabari Bird","G","ATL","atlanta-hawks","Atlanta Hawks","1349464",2020
"3057189","ben-moore","Ben Moore","F","SA","san-antonio-spurs","San Antonio Spurs","1349383",2020
"2326411","james-nunnally","James Nunnally","G","XXX","NO ID","Shanghai Sharks","1349383",2020
"4397140","kevin-porter-jr.","Kevin Porter Jr.","SG","CLE","cleveland-cavaliers","Cleveland Cavaliers","1290960",2020
"4066407","carsen-edwards","Carsen Edwards","G","BOS","boston-celtics","Boston Celtics","1228026",2020
"2528473","okaro-white","Okaro White","F","WSH","washington-wizards","Washington Wizards","1187862",2020
"3138161","cody-martin","Cody Martin","SF","CHA","charlotte-hornets","Charlotte Hornets","1173310",2020
"3134903","gary-payton-ii","Gary Payton II","G","WSH","washington-wizards","Washington Wizards","1052909",2020
"3243","nick-young","Nick Young","G","DEN","denver-nuggets","Denver Nuggets","1042584",2020
"3918423","admiral-schofield","Admiral Schofield","F","WSH","washington-wizards","Washington Wizards","1000000",2020
"3907823","terance-mann","Terance Mann","G","LAC","la-clippers","LA Clippers","1000000",2020
"2580349","ron-baker","Ron Baker","G","WSH","washington-wizards","Washington Wizards","948580",2020
"3062744","david-nwaba","David Nwaba","SG","BKN","brooklyn-nets","Brooklyn Nets","903111",2020
"4066731","jalen-mcdaniels","Jalen McDaniels","PF","CHA","charlotte-hornets","Charlotte Hornets","898310",2020
"3138160","caleb-martin","Caleb Martin","SF","CHA","charlotte-hornets","Charlotte Hornets","898310",2020
"4065672","dewan-hernandez","Dewan Hernandez","F","TOR","toronto-raptors","Toronto Raptors","898310",2020
"3919454","terence-davis","Terence Davis","SG","TOR","toronto-raptors","Toronto Raptors","898310",2020
"3059311","matt-thomas","Matt Thomas","SG","TOR","toronto-raptors","Toronto Raptors","898310",2020
"4066851","miye-oni","Miye Oni","SG","UTAH","utah-jazz","Utah Jazz","898310",2020
"2995105","stanton-kidd","Stanton Kidd","SF","UTAH","utah-jazz","Utah Jazz","898310",2020
"3914058","justin-james","Justin James","G","SAC","sacramento-kings","Sacramento Kings","898310",2020
"3945566","justin-robinson","Justin Robinson","G","WSH","washington-wizards","Washington Wizards","898310",2020
"4397205","ignas-brazdeikis","Ignas Brazdeikis","SF","NY","new-york-knicks","New York Knicks","898310",2020
"4278067","nicolas-claxton","Nicolas Claxton","PF","BKN","brooklyn-nets","Brooklyn Nets","898310",2020
"4396971","naz-reid","Naz Reid","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","898310",2020
"4278521","kz-okpala","KZ Okpala","SF","MIA","miami-heat","Miami Heat","898310",2020
"4065778","max-strus","Max Strus","SG","CHI","chicago-bulls","Chicago Bulls","898310",2020
"4396991","talen-horton-tucker","Talen Horton-Tucker","SG","LAL","los-angeles-lakers","Los Angeles Lakers","898310",2020
"4423887","jalen-lecque","Jalen Lecque","G","PHX","phoenix-suns","Phoenix Suns","898310",2020
"4401415","alen-smailagic","Alen Smailagic","PF","GS","golden-state-warriors","Golden State Warriors","898310",2020
"3133817","eric-paschall","Eric Paschall","PF","GS","golden-state-warriors","Golden State Warriors","898310",2020
"4230557","vlatko-cancar","Vlatko Cancar","F","DEN","denver-nuggets","Denver Nuggets","898310",2020
"4278049","daniel-gafford","Daniel Gafford","PF","CHI","chicago-bulls","Chicago Bulls","898310",2020
"2596112","javonte-green","Javonte Green","G","BOS","boston-celtics","Boston Celtics","898310",2020
"2595209","damion-lee","Damion Lee","SG","GS","golden-state-warriors","Golden State Warriors","842327",2020
"3936294","isaiah-briscoe","Isaiah Briscoe","G","ORL","orlando-magic","Orlando Magic","838464",2020
"3934721","juwan-morgan","Juwan Morgan","SF","UTAH","utah-jazz","Utah Jazz","746054",2020
"3893019","timothe-luwawu-cabarrot","Timothe Luwawu-Cabarrot","SG","BKN","brooklyn-nets","Brooklyn Nets","654469",2020
"3907487","marquese-chriss","Marquese Chriss","SF","GS","golden-state-warriors","Golden State Warriors","654469",2020
"2797","marvin-williams","Marvin Williams","F","CHA","charlotte-hornets","Charlotte Hornets","604278",2020
"6601","michael-kidd-gilchrist","Michael Kidd-Gilchrist","F","CHA","charlotte-hornets","Charlotte Hornets","595122",2020
"3908819","rayjon-tucker","Rayjon Tucker","G","UTAH","utah-jazz","Utah Jazz","578573",2020
"3906603","chris-clemons","Chris Clemons","PG","HOU","houston-rockets","Houston Rockets","563347",2020
"3132042","gary-clark","Gary Clark","PF","ORL","orlando-magic","Orlando Magic","555409",2020
"3057198","brandon-goodwin","Brandon Goodwin","PG","ATL","atlanta-hawks","Atlanta Hawks","522738",2020
"6443","reggie-jackson","Reggie Jackson","G","LAC","la-clippers","LA Clippers","512721",2020
"3970","demarre-carroll","DeMarre Carroll","F","SA","san-antonio-spurs","San Antonio Spurs","512721",2020
"3893059","anzejs-pasecniks","Anzejs Pasecniks","C","WSH","washington-wizards","Washington Wizards","482144",2020
"3923253","chris-silva","Chris Silva","PF","MIA","miami-heat","Miami Heat","466918",2020
"3209","jeff-green","Jeff Green","PF","UTAH","utah-jazz","Utah Jazz","439475",2020
"2489530","troy-daniels","Troy Daniels","G","LAL","los-angeles-lakers","Los Angeles Lakers","384541",2020
"6628","dion-waiters","Dion Waiters","G","MIA","miami-heat","Miami Heat","375385",2020
"2608892","norvel-pelle","Norvel Pelle","F","PHI","philadelphia-76ers","Philadelphia 76ers","350189",2020
"4065635","ky-bowman","Ky Bowman","G","GS","golden-state-warriors","Golden State Warriors","350189",2020
"4401416","juan-toscano-anderson","Juan Toscano-Anderson","SF","GS","golden-state-warriors","Golden State Warriors","350189",2020
"2444","jr-smith","JR Smith","G","LAL","los-angeles-lakers","Los Angeles Lakers","289803",2020
"6631","tyler-zeller","Tyler Zeller","C","SA","san-antonio-spurs","San Antonio Spurs","245686",2020
"6434","jimmer-fredette","Jimmer Fredette","G","PHX","phoenix-suns","Phoenix Suns","208509",2020
"4278103","jontay-porter","Jontay Porter","PF","MEM","memphis-grizzlies","Memphis Grizzlies","197933",2020
"3276","anthony-tolliver","Anthony Tolliver","F","MEM","memphis-grizzlies","Memphis Grizzlies","183115",2020
"2530276","tyler-johnson","Tyler Johnson","SG","PHX","phoenix-suns","Phoenix Suns","183115",2020
"4397020","luguentz-dort","Luguentz Dort","SG","OKC","oklahoma-city-thunder","Oklahoma City Thunder","155647",2020
