"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team","Team"
"1966","lebron-james","LeBron James","SF","CLE","cleveland-cavaliers","30963450",2020,6.75,6,9,250,1984-12-30,2003,1,1,"CLE","Cleveland Cavaliers"
"3468","russell-westbrook","Russell Westbrook","PG","OKC","oklahoma-city-thunder","26540100",2020,6.25,6,3,200,1988-11-12,2008,1,4,"SEA","Oklahoma City Thunder"
"3195","mike-conley","Mike Conley","PG","MEM","memphis-grizzlies","26540100",2020,6.08333333333333,6,1,175,1987-10-11,2007,1,4,"MEM","Memphis Grizzlies"
"3213","al-horford","Al Horford","C","BOS","boston-celtics","26540100",2020,6.75,6,9,240,1986-06-03,2007,1,3,"ATL","Boston Celtics"
"3978","demar-derozan","DeMar DeRozan","SF","TOR","toronto-raptors","26540100",2020,6.5,6,6,220,1989-08-07,2009,1,9,"TOR","Toronto Raptors"
"3992","james-harden","James Harden","SG","HOU","houston-rockets","26540100",2020,6.41666666666667,6,5,220,1989-08-26,2009,1,3,"OKC","Houston Rockets"
"3202","kevin-durant","Kevin Durant","PF","GS","golden-state-warriors","26540100",2020,6.83333333333333,6,10,225,1988-09-29,2007,1,2,"SEA","Golden State Warriors"
"609","dirk-nowitzki","Dirk Nowitzki","F","DAL","dallas-mavericks","25000000",2020,NA,NA,NA,NA,NA,1998,1,9,"MIL","Dallas Mavericks"
"1975","carmelo-anthony","Carmelo Anthony","PF","NY","new-york-knicks","24559380",2020,6.58333333333333,6,7,238,1984-05-29,2003,1,3,"DEN","New York Knicks"
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","24328425",2020,6.16666666666667,6,2,195,1990-07-15,2012,1,6,"POR","Portland Trail Blazers"
"1977","chris-bosh","Chris Bosh","PF","MIA","miami-heat","23741060",2020,NA,NA,NA,NA,NA,2003,1,4,"TOR","Miami Heat"
"1987","dwyane-wade","Dwyane Wade","G","CHI","chicago-bulls","23200000",2020,NA,NA,NA,NA,NA,2003,1,5,"MIA","Chicago Bulls"
