"Quarter","Time","Quarter_Time","Team","Play","Home_Points","Away_Points","Game_Id"
1,0,12,"LAL","Kosta Koufos vs. Timofey Mozgov (DeMarcus Cousins gains possession)","0 "," 0","400889799"
1,0.366666666666667,11.6333333333333,"SAC","DeMarcus Cousins makes 22-foot jumper","2 "," 0","400889799"
1,0.683333333333334,11.3166666666667,"LAL","Julius Randle  bad pass (Arron Afflalo steals)","2 "," 0","400889799"
1,0.75,11.25,"SAC","DeMarcus Cousins  lost ball turnover (Louis Williams steals)","2 "," 0","400889799"
1,0.883333333333333,11.1166666666667,"LAL","Luol Deng  misses 25-foot three point jumper","2 "," 0","400889799"
1,0.9,11.1,"SAC","Rudy Gay defensive rebound","2 "," 0","400889799"
1,0.966666666666667,11.0333333333333,"SAC","Kosta Koufos makes layup (Rudy Gay assists)","4 "," 0","400889799"
1,1.26666666666667,10.7333333333333,"LAL","D'Angelo Russell  misses 28-foot three point jumper","4 "," 0","400889799"
1,1.36666666666667,10.6333333333333,"SAC","Kings defensive team rebound","4 "," 0","400889799"
1,1.5,10.5,"LAL","Julius Randle personal foul  (DeMarcus Cousins draws the foul)","4 "," 0","400889799"
1,1.7,10.3,"SAC","Arron Afflalo makes 14-foot two point shot","6 "," 0","400889799"
1,1.95,10.05,"LAL","D'Angelo Russell offensive foul  (Arron Afflalo draws the foul)","6 "," 0","400889799"
1,1.95,10.05,"LAL","D'Angelo Russell  turnover","6 "," 0","400889799"
1,2.2,9.8,"LAL","D'Angelo Russell shooting foul  (Darren Collison draws the foul)","6 "," 0","400889799"
1,2.2,9.8,"SAC","Darren Collison makes free throw 1 of 2","7 "," 0","400889799"
1,2.2,9.8,"SAC","Darren Collison makes free throw 2 of 2","8 "," 0","400889799"
1,2.45,9.55,"LAL","Louis Williams  misses 27-foot three point jumper","8 "," 0","400889799"
1,2.46666666666667,9.53333333333333,"SAC","DeMarcus Cousins defensive rebound","8 "," 0","400889799"
1,2.7,9.3,"SAC","DeMarcus Cousins  misses 18-foot jumper","8 "," 0","400889799"
1,2.7,9.3,"LAL","Luol Deng defensive rebound","8 "," 0","400889799"
1,2.8,9.2,"LAL","Julius Randle makes 22-foot jumper (Louis Williams assists)","8 "," 2","400889799"
1,3.2,8.8,"SAC","Rudy Gay makes 14-foot two point shot","8 "," 2","400889799"
1,3.33333333333333,8.66666666666667,"SAC","Arron Afflalo shooting foul  (Louis Williams draws the foul)","8 "," 2","400889799"
1,3.33333333333333,8.66666666666667,"LAL","Louis Williams makes free throw 1 of 2","8 "," 3","400889799"
1,3.33333333333333,8.66666666666667,"LAL","Louis Williams makes free throw 2 of 2","8 "," 4","400889799"
1,3.5,8.5,"LAL","Timofey Mozgov defensive 3-seconds (Technical Foul)","8 "," 4","400889799"
1,3.5,8.5,"SAC","Darren Collison misses technical free throw","8 "," 4","400889799"
1,3.5,8.5,"SAC","Kings offensive team rebound","8 "," 4","400889799"
1,3.68333333333333,8.31666666666667,"SAC","back court turnover","8 "," 4","400889799"
1,3.88333333333333,8.11666666666667,"LAL","D'Angelo Russell Out-of-Bounds Bad Pass Turnover","8 "," 4","400889799"
1,4.06666666666667,7.93333333333333,"SAC","Arron Afflalo  misses 15-foot two point shot","8 "," 4","400889799"
1,4.1,7.9,"SAC","Kosta Koufos  misses 1-foot","8 "," 4","400889799"
1,4.1,7.9,"SAC","Kosta Koufos offensive rebound","8 "," 4","400889799"
1,4.13333333333333,7.86666666666667,"LAL","Timofey Mozgov defensive rebound","8 "," 4","400889799"
1,4.2,7.8,"LAL","Luol Deng makes 26-foot  three pointer  (D'Angelo Russell assists)","8 "," 7","400889799"
1,4.53333333333333,7.46666666666667,"SAC","Arron Afflalo  misses 26-foot three point jumper","8 "," 7","400889799"
1,4.53333333333333,7.46666666666667,"LAL","Julius Randle defensive rebound","8 "," 7","400889799"
1,4.73333333333333,7.26666666666667,"LAL","D'Angelo Russell makes 13-foot two point shot","8 "," 9","400889799"
1,4.98333333333333,7.01666666666667,"SAC","Rudy Gay makes jumper (DeMarcus Cousins assists)","8 "," 9","400889799"
1,5.28333333333333,6.71666666666667,"LAL","Timofey Mozgov  misses 17-foot jumper","8 "," 9","400889799"
1,5.31666666666667,6.68333333333333,"SAC","DeMarcus Cousins defensive rebound","8 "," 9","400889799"
1,5.41666666666667,6.58333333333333,"SAC","Arron Afflalo makes  three point jumper  (DeMarcus Cousins assists)","8 "," 9","400889799"
1,5.53333333333333,6.46666666666667,"LAL","Lakers Full timeout","8 "," 9","400889799"
1,5.53333333333333,6.46666666666667,"LAL","Jordan Clarkson enters the game for Luol Deng","8 "," 9","400889799"
1,5.53333333333333,6.46666666666667,"LAL","Brandon Ingram enters the game for Louis Williams","8 "," 9","400889799"
1,5.7,6.3,"LAL","D'Angelo Russell  misses 20-foot two point jumper","8 "," 9","400889799"
1,5.73333333333333,6.26666666666667,"SAC","DeMarcus Cousins defensive rebound","8 "," 9","400889799"
1,5.98333333333333,6.01666666666667,"SAC","Kosta Koufos  misses 5-foot hook shot","8 "," 9","400889799"
1,6.03333333333333,5.96666666666667,"LAL","Jordan Clarkson defensive rebound","8 "," 9","400889799"
1,6.21666666666667,5.78333333333333,"LAL","Julius Randle  lost ball turnover (Rudy Gay steals)","8 "," 9","400889799"
1,6.31666666666667,5.68333333333333,"LAL","Timofey Mozgov shooting foul  (DeMarcus Cousins draws the foul)","8 "," 9","400889799"
1,6.31666666666667,5.68333333333333,"SAC","DeMarcus Cousins makes free throw 1 of 2","8 "," 9","400889799"
1,6.31666666666667,5.68333333333333,"SAC","Anthony Tolliver enters the game for Kosta Koufos","8 "," 9","400889799"
1,6.31666666666667,5.68333333333333,"SAC","Ty Lawson enters the game for Darren Collison","8 "," 9","400889799"
1,6.31666666666667,5.68333333333333,"SAC","DeMarcus Cousins makes free throw 2 of 2","8 "," 9","400889799"
1,6.53333333333333,5.46666666666667,"LAL","Jordan Clarkson makes 28-foot  three point jumper  (Timofey Mozgov assists)","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"SAC","Rudy Gay makes two point shot","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"LAL","Brandon Ingram shooting foul  (Rudy Gay draws the foul)","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"LAL","Tarik Black enters the game for Timofey Mozgov","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"LAL","Larry Nance Jr. enters the game for Julius Randle","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"SAC","Ben McLemore enters the game for Arron Afflalo","8 "," 9","400889799"
1,6.88333333333333,5.11666666666667,"SAC","Rudy Gay makes free throw 1 of 1","8 "," 9","400889799"
1,7.06666666666667,4.93333333333333,"LAL","Jordan Clarkson  misses 26-foot three point jumper","8 "," 9","400889799"
1,7.06666666666667,4.93333333333333,"SAC","Ty Lawson defensive rebound","8 "," 9","400889799"
1,7.21666666666667,4.78333333333333,"SAC","Anthony Tolliver  misses 24-foot three point jumper","8 "," 9","400889799"
1,7.23333333333333,4.76666666666667,"LAL","Tarik Black defensive rebound","8 "," 9","400889799"
1,7.38333333333333,4.61666666666667,"LAL","Tarik Black offensive foul  (DeMarcus Cousins draws the foul)","8 "," 9","400889799"
1,7.38333333333333,4.61666666666667,"LAL","Tarik Black  turnover","8 "," 9","400889799"
1,7.38333333333333,4.61666666666667,"SAC","Willie Cauley-Stein enters the game for Rudy Gay","8 "," 9","400889799"
1,7.38333333333333,4.61666666666667,"SAC","Omri Casspi enters the game for DeMarcus Cousins","8 "," 9","400889799"
1,7.56666666666667,4.43333333333333,"SAC","Ben McLemore  misses 21-foot jumper","8 "," 9","400889799"
1,7.56666666666667,4.43333333333333,"LAL","Jordan Clarkson defensive rebound","8 "," 9","400889799"
1,7.73333333333333,4.26666666666667,"LAL","Brandon Ingram  misses 27-foot three point jumper","8 "," 9","400889799"
1,7.75,4.25,"SAC","Willie Cauley-Stein defensive rebound","8 "," 9","400889799"
1,8.01666666666667,3.98333333333333,"SAC","Ben McLemore  misses 5-foot jumper","8 "," 9","400889799"
1,8.01666666666667,3.98333333333333,"LAL","Lakers defensive team rebound","8 "," 9","400889799"
1,8.01666666666667,3.98333333333333,"SAC","Anthony Tolliver loose ball foul  (D'Angelo Russell draws the foul)","8 "," 9","400889799"
1,8.01666666666667,3.98333333333333,"LAL","Marcelo Huertas enters the game for D'Angelo Russell","8 "," 9","400889799"
1,8.25,3.75,"SAC","Ben McLemore shooting foul  (Jordan Clarkson draws the foul)","8 "," 9","400889799"
1,8.25,3.75,"LAL","Jordan Clarkson makes free throw 1 of 2","8 "," 9","400889799"
1,8.25,3.75,"LAL","Jordan Clarkson makes free throw 2 of 2","8 "," 9","400889799"
1,8.48333333333333,3.51666666666667,"SAC","Kings Full timeout","8 "," 9","400889799"
1,8.58333333333333,3.41666666666667,"SAC","Ben McLemore  misses three point jumper","8 "," 9","400889799"
1,8.6,3.4,"LAL","Tarik Black defensive rebound","8 "," 9","400889799"
1,8.81666666666667,3.18333333333333,"LAL","Larry Nance Jr.  misses alley oop dunk shot","8 "," 9","400889799"
1,8.85,3.15,"SAC","Willie Cauley-Stein defensive rebound","8 "," 9","400889799"
1,8.93333333333333,3.06666666666667,"SAC","Larry Nance Jr. blocks Ben McLemore's  jumper","8 "," 9","400889799"
1,8.96666666666667,3.03333333333333,"LAL","Jordan Clarkson defensive rebound","8 "," 9","400889799"
1,9.05,2.95,"LAL","Larry Nance Jr. makes layup (Marcelo Huertas assists)","8 "," 9","400889799"
1,9.31666666666667,2.68333333333333,"SAC","Omri Casspi makes driving layup","8 "," 9","400889799"
1,9.31666666666667,2.68333333333333,"LAL","Larry Nance Jr. defensive goaltending violation","8 "," 9","400889799"
1,9.31666666666667,2.68333333333333,"LAL","Brandon Ingram shooting foul  (Omri Casspi draws the foul)","8 "," 9","400889799"
1,9.31666666666667,2.68333333333333,"SAC","Omri Casspi makes free throw 1 of 1","8 "," 9","400889799"
1,9.46666666666667,2.53333333333333,"SAC","Ben McLemore personal foul  (Jordan Clarkson draws the foul)","8 "," 9","400889799"
1,9.51666666666667,2.48333333333333,"LAL","Jordan Clarkson makes two point shot (Marcelo Huertas assists)","8 "," 9","400889799"
1,9.76666666666667,2.23333333333333,"SAC","Omri Casspi  double dribble turnover","8 "," 9","400889799"
1,9.93333333333333,2.06666666666667,"LAL","Marcelo Huertas  bad pass (Omri Casspi steals)","8 "," 9","400889799"
1,10.1666666666667,1.83333333333333,"LAL","Larry Nance Jr. shooting foul  (Omri Casspi draws the foul)","8 "," 9","400889799"
1,10.1666666666667,1.83333333333333,"SAC","Omri Casspi misses free throw 1 of 2","8 "," 9","400889799"
1,10.1666666666667,1.83333333333333,"SAC","Kings offensive team rebound","8 "," 9","400889799"
1,10.1666666666667,1.83333333333333,"SAC","Omri Casspi makes free throw 2 of 2","8 "," 9","400889799"
1,10.4166666666667,1.58333333333333,"LAL","Brandon Ingram  misses 25-foot three point jumper","8 "," 9","400889799"
1,10.4333333333333,1.56666666666667,"SAC","Omri Casspi defensive rebound","8 "," 9","400889799"
1,10.6333333333333,1.36666666666667,"SAC","Willie Cauley-Stein makes 3-foot two point shot (Omri Casspi assists)","8 "," 9","400889799"
1,10.6333333333333,1.36666666666667,"LAL","Marcelo Huertas shooting foul  (Willie Cauley-Stein draws the foul)","8 "," 9","400889799"
1,10.6333333333333,1.36666666666667,"SAC","Willie Cauley-Stein makes free throw 1 of 1","8 "," 9","400889799"
1,10.7833333333333,1.21666666666667,"LAL","Tarik Black makes two point shot (Jordan Clarkson assists)","8 "," 9","400889799"
1,11,1,"SAC","Kings 20 Sec. timeout","8 "," 9","400889799"
1,11.0666666666667,0.933333333333333,"SAC","Ty Lawson makes layup (Anthony Tolliver assists)","8 "," 9","400889799"
1,11.2,0.8,"LAL","Brandon Ingram steps out of bounds turnover","8 "," 9","400889799"
1,11.2333333333333,0.766666666666667,"LAL","Marcelo Huertas personal foul  (Ty Lawson draws the foul)","8 "," 9","400889799"
1,11.2333333333333,0.766666666666667,"SAC","Ty Lawson makes free throw 1 of 2","8 "," 9","400889799"
1,11.2333333333333,0.766666666666667,"SAC","Ty Lawson makes free throw 2 of 2","8 "," 9","400889799"
1,11.6,0.4,"SAC","Ty Lawson personal foul  (Tarik Black draws the foul)","8 "," 9","400889799"
1,11.6,0.4,"LAL","Tarik Black misses free throw 1 of 2","8 "," 9","400889799"
1,11.6,0.4,"LAL","Lakers offensive team rebound","8 "," 9","400889799"
1,11.6,0.4,"LAL","Tarik Black makes free throw 2 of 2","8 "," 9","400889799"
1,11.9333333333333,0.0666666666666667,"SAC","Ty Lawson  misses jumper","8 "," 9","400889799"
1,11.95,0.05,"LAL","Jordan Clarkson defensive rebound","8 "," 9","400889799"
1,12,0,"LAL","Jordan Clarkson  misses 40-foot three point running jumper","8 "," 9","400889799"
1,12,0,"LAL","Lakers offensive team rebound","8 "," 9","400889799"
1,12,0,"LAL","End of the 1st Quarter","8 "," 9","400889799"
2,12,11.7833333333333,"LAL","Jordan Clarkson  misses 20-foot Regular Jump Shot","8 "," 9","400889799"
2,12.0333333333333,11.75,"LAL","Tarik Black makes tip shot","8 "," 9","400889799"
2,12.0333333333333,11.75,"LAL","Tarik Black offensive rebound","8 "," 9","400889799"
2,12.3666666666667,11.4166666666667,"LAL","Larry Nance Jr. shooting foul  (Omri Casspi draws the foul)","8 "," 9","400889799"
2,12.3666666666667,11.4166666666667,"SAC","Omri Casspi misses free throw 1 of 2","8 "," 9","400889799"
2,12.3666666666667,11.4166666666667,"SAC","Kings offensive team rebound","8 "," 9","400889799"
2,12.3666666666667,11.4166666666667,"SAC","Arron Afflalo enters the game for Ben McLemore","8 "," 9","400889799"
2,12.3666666666667,11.4166666666667,"SAC","Omri Casspi makes free throw 2 of 2","8 "," 9","400889799"
2,12.6,11.1833333333333,"LAL","Jordan Clarkson  misses 27-foot three point jumper","8 "," 9","400889799"
2,12.6,11.1833333333333,"SAC","Ty Lawson defensive rebound","8 "," 9","400889799"
2,12.7333333333333,11.05,"SAC","Omri Casspi  misses 5-foot two point shot","8 "," 9","400889799"
2,12.8,10.9833333333333,"LAL","Tarik Black defensive rebound","8 "," 9","400889799"
2,12.9,10.8833333333333,"LAL","Tarik Black  lost ball turnover (Willie Cauley-Stein steals)","8 "," 9","400889799"
2,13.0333333333333,10.75,"LAL","Tarik Black shooting foul  (Willie Cauley-Stein draws the foul)","8 "," 9","400889799"
2,13.0333333333333,10.75,"SAC","Willie Cauley-Stein makes free throw 1 of 2","8 "," 9","400889799"
2,13.0333333333333,10.75,"SAC","Kosta Koufos enters the game for Omri Casspi","8 "," 9","400889799"
2,13.0333333333333,10.75,"LAL","Louis Williams enters the game for Jordan Clarkson","8 "," 9","400889799"
2,13.0333333333333,10.75,"LAL","Timofey Mozgov enters the game for Tarik Black","8 "," 9","400889799"
2,13.0333333333333,10.75,"SAC","Willie Cauley-Stein misses free throw 2 of 2","8 "," 9","400889799"
2,13.0333333333333,10.75,"LAL","Timofey Mozgov defensive rebound","8 "," 9","400889799"
2,13.2166666666667,10.5666666666667,"LAL","Louis Williams  misses jumper","8 "," 9","400889799"
2,13.2333333333333,10.55,"LAL","Timofey Mozgov offensive rebound","8 "," 9","400889799"
2,13.3666666666667,10.4166666666667,"LAL","Brandon Ingram  misses 25-foot three point jumper","8 "," 9","400889799"
2,13.3666666666667,10.4166666666667,"SAC","Garrett Temple defensive rebound","8 "," 9","400889799"
2,13.8333333333333,9.95,"SAC","Garrett Temple  misses 13-foot two point shot","8 "," 9","400889799"
2,13.85,9.93333333333333,"LAL","Brandon Ingram defensive rebound","8 "," 9","400889799"
2,14.0333333333333,9.75,"LAL","Timofey Mozgov makes 6-foot two point shot (Brandon Ingram assists)","8 "," 9","400889799"
2,14.2166666666667,9.56666666666667,"SAC","Ty Lawson  lost ball turnover (Larry Nance Jr. steals)","8 "," 9","400889799"
2,14.2833333333333,9.5,"LAL","Larry Nance Jr.  misses layup","8 "," 9","400889799"
2,14.3,9.48333333333333,"SAC","Arron Afflalo defensive rebound","8 "," 9","400889799"
2,14.6666666666667,9.11666666666667,"SAC","Garrett Temple makes 21-foot jumper (Kosta Koufos assists)","8 "," 9","400889799"
2,14.9,8.88333333333333,"LAL","Marcelo Huertas  misses 5-foot two point shot","8 "," 9","400889799"
2,14.9333333333333,8.85,"LAL","Larry Nance Jr.  misses","8 "," 9","400889799"
2,14.9333333333333,8.85,"LAL","Larry Nance Jr. offensive rebound","8 "," 9","400889799"
2,14.9833333333333,8.8,"SAC","Willie Cauley-Stein defensive rebound","8 "," 9","400889799"
2,15.0833333333333,8.7,"SAC","Arron Afflalo  lost ball turnover (Marcelo Huertas steals)","8 "," 9","400889799"
2,15.1833333333333,8.6,"SAC","Arron Afflalo shooting foul  (Louis Williams draws the foul)","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","Official timeout","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","D'Angelo Russell enters the game for Marcelo Huertas","8 "," 9","400889799"
2,15.1833333333333,8.6,"SAC","Darren Collison enters the game for Ty Lawson","8 "," 9","400889799"
2,15.1833333333333,8.6,"SAC","Rudy Gay enters the game for Willie Cauley-Stein","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","Louis Williams makes free throw 1 of 3","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","Louis Williams misses free throw 2 of 3","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","Lakers offensive team rebound","8 "," 9","400889799"
2,15.1833333333333,8.6,"LAL","Louis Williams makes free throw 3 of 3","8 "," 9","400889799"
2,15.4833333333333,8.3,"SAC","Rudy Gay  misses 27-foot three point jumper","8 "," 9","400889799"
2,15.4833333333333,8.3,"LAL","Louis Williams defensive rebound","8 "," 9","400889799"
2,15.5833333333333,8.2,"LAL","Larry Nance Jr. makes two point shot (Louis Williams assists)","8 "," 9","400889799"
2,15.75,8.03333333333333,"SAC","Darren Collison  misses layup","8 "," 9","400889799"
2,15.7833333333333,8,"LAL","Timofey Mozgov defensive rebound","8 "," 9","400889799"
2,15.85,7.93333333333333,"SAC","Rudy Gay shooting foul  (Louis Williams draws the foul)","8 "," 9","400889799"
2,15.85,7.93333333333333,"LAL","Louis Williams makes free throw 1 of 2","8 "," 9","400889799"
2,15.85,7.93333333333333,"SAC","DeMarcus Cousins enters the game for Garrett Temple","8 "," 9","400889799"
2,15.85,7.93333333333333,"LAL","Louis Williams makes free throw 2 of 2","8 "," 9","400889799"
2,16.1666666666667,7.61666666666667,"LAL","Larry Nance Jr. defensive 3-seconds (Technical Foul)","8 "," 9","400889799"
2,16.1666666666667,7.61666666666667,"SAC","Rudy Gay makes technical free throw","8 "," 9","400889799"
2,16.4166666666667,7.36666666666667,"SAC","shot clock turnover","8 "," 9","400889799"
2,16.6333333333333,7.15,"LAL","D'Angelo Russell  out of bounds lost ball turnover","8 "," 9","400889799"
2,16.9166666666667,6.86666666666667,"SAC","DeMarcus Cousins  traveling","8 "," 9","400889799"
2,16.9166666666667,6.86666666666667,"LAL","Luol Deng enters the game for Brandon Ingram","8 "," 9","400889799"
2,16.9166666666667,6.86666666666667,"LAL","Julius Randle enters the game for Larry Nance Jr.","8 "," 9","400889799"
2,17.2333333333333,6.55,"LAL","Julius Randle  misses 12-foot jumper","8 "," 9","400889799"
2,17.2666666666667,6.51666666666667,"SAC","Rudy Gay defensive rebound","8 "," 9","400889799"
2,17.35,6.43333333333333,"SAC","DeMarcus Cousins makes dunk (Rudy Gay assists)","8 "," 9","400889799"
2,17.5666666666667,6.21666666666667,"LAL","Louis Williams makes two point shot","8 "," 9","400889799"
