"","ID","Name","FBS"
"150","2083","bucknell-bison",0
"151","222","villanova-wildcats",0
"414","70","idaho-vandals",0
"152","257","richmond-spiders",0
"318","311","maine-black-bears",0
"319","2545","southeastern-louisiana-lions",0
"153","2296","jackson-state-tigers",0
"154","2110","central-arkansas-bears",0
"320","231","furman-paladins",0
"321","2065","bethune-cookman-wildcats",0
"155","233","south-dakota-coyotes",0
"156","2535","samford-bulldogs",0
"415","2681","wagner-seahawks",0
"223","47","howard-bison",0
"157","2692","weber-state-wildcats",0
"224","2506","presbyterian-college-blue-hose",0
"1111","2011","alabama-state-hornets",0
"158","2016","alcorn-state-braves",0
"225","2193","east-tennessee-state-buccaneers",0
"159","399","albany-great-danes",0
"160","2754","youngstown-state-penguins",0
"226","160","new-hampshire-wildcats",0
"161","2115","central-connecticut-blue-devils",0
"811","2000","abilene-christian-wildcats",0
"416","2097","campbell-fighting-camels",0
"162","2460","northern-iowa-panthers",0
"163","2571","south-dakota-state-jackrabbits",0
"1310","2181","drake-bulldogs",0
"164","2449","north-dakota-state-bison",0
"165","2287","illinois-state-redbirds",0
"166","2458","northern-colorado-bears",0
"322","2197","eastern-illinois-panthers",0
"227","304","idaho-state-bengals",0
"323","2464","northern-arizona-lumberjacks",0
"167","2029","arkansas-pine-bluff-golden-lions",0
"417","2502","portland-state-vikings",0
"228","302","uc-davis-aggies",0
"168","331","eastern-washington-eagles",0
"169","155","north-dakota",0
"229","2450","norfolk-state-spartans",0
"170","149","montana-grizzlies",0
"230","2415","morgan-state-bears",0
"1210","13","cal-poly-mustangs",0
"231",NA,NA,0
"1112","2413","morehead-state-eagles",0
